chain_code,chain_name,calendar_year,calendar_month,revenue,cogs,gross_margin,opex,ebitda,budget_revenue,budget_ebitda,inventory_value,debtors_balance,creditors_balance
TNY,TinyThreads,2025,1,93152.31,40078.82,53073.49,27131.86,25941.63,99016.38,26088.39,172587.31,49520.12,30646.85
TNY,TinyThreads,2025,2,94984.9,40915.3,54069.6,23736.03,30333.57,88821.77,32579.37,171919.67,55190.4,24401.4
TNY,TinyThreads,2025,3,118843.21,51196.01,67647.2,27312.62,40334.58,125139.29,36139.19,207192.99,57022.74,43507.64
TNY,TinyThreads,2025,4,104209.23,44993.13,59216.1,24563.66,34652.44,101046.67,37536.27,247753.39,46917.33,25086.32
TNY,TinyThreads,2025,5,94000.69,40465.47,53535.22,20784.95,32750.27,89934.69,29132.89,201361.41,31635.91,28428.29
TNY,TinyThreads,2025,6,118540.56,51041.01,67499.55,32662.78,34836.77,120079.06,31699.12,265921.99,61003.6,40607.9
TNY,TinyThreads,2025,7,95942.24,41316.87,54625.37,22113.21,32512.16,90166.58,36682.45,184023.22,37444.78,28733.14
TNY,TinyThreads,2025,8,104568.84,45125.89,59442.95,28550.34,30892.61,112191.88,28913.44,244675.06,32150.51,32584.47
TNY,TinyThreads,2025,9,118654.31,51087.46,67566.85,32121.86,35444.99,111172.39,31620.54,229630.67,69990.57,37723.85
TNY,TinyThreads,2025,10,95213.57,41093.24,54120.33,28053.9,26066.43,99850.26,25811.36,212117.82,29073.56,22340.65
TNY,TinyThreads,2025,11,93939.08,40551.35,53387.73,26899.86,26487.87,98400.32,24363.34,190190.53,45260.29,34350.87
TNY,TinyThreads,2025,12,162969.27,70426.64,92542.63,43716.27,48826.36,160689.57,46983.42,316275.39,80764.2,59651.1
TNY,TinyThreads,2026,1,97599.58,42030.56,55569.02,25015.92,30553.1,93661.86,28139.37,214407.87,53188.9,22785.24
TNY,TinyThreads,2026,2,94206.73,40546.83,53659.9,21227.1,32432.8,95630.14,28990.12,212881.9,37032.7,22606.84
TNY,TinyThreads,2026,3,118343.64,50967.05,67376.59,34754.88,32621.71,112010.49,30514.87,203893.16,39603.35,25914.67
TNY,TinyThreads,2026,4,104422.81,45062.17,59360.64,23435.78,35924.86,98986.83,31111.45,216459.61,52651.48,29626.22
TNY,TinyThreads,2026,5,95114.22,40991.43,54122.79,23344.77,30778.02,95183.1,34240.59,216946.53,29774.79,23471.67
TNY,TinyThreads,2026,6,95833.59,41281.72,54551.87,22898.44,31653.43,91990.86,32329.86,185247.28,30166.14,26810.23
URB,Urban Basics,2024,7,148327.56,63857.57,84469.99,38847.02,45622.97,138874.27,50186.98,243490.0,85652.13,34460.43
URB,Urban Basics,2024,8,132518.96,57228.41,75290.55,38097.35,37193.2,141056.43,42544.23,297057.24,70744.35,43321.52
URB,Urban Basics,2024,9,148672.0,64023.71,84648.29,41973.04,42675.25,139978.9,43137.01,299035.63,82850.69,43863.91
URB,Urban Basics,2024,10,118882.49,51193.22,67689.27,29816.58,37872.69,121537.15,35219.29,203504.8,52708.12,34133.37
URB,Urban Basics,2024,11,119500.81,51462.5,68038.31,28513.56,39524.75,116967.62,37940.51,222510.08,49454.12,39847.28
URB,Urban Basics,2024,12,211191.81,91034.42,120157.39,51478.03,68679.36,226359.03,77257.71,419158.37,84161.7,65014.41
URB,Urban Basics,2025,1,115387.02,49651.5,65735.52,33218.17,32517.35,118204.08,35486.75,233794.62,56525.25,30548.69
URB,Urban Basics,2025,2,118029.35,50802.44,67226.91,32905.57,34321.34,112409.35,36327.06,270119.05,40086.41,37886.02
URB,Urban Basics,2025,3,149388.07,64329.12,85058.95,34001.87,51057.08,154783.15,44692.71,350875.51,50974.55,56838.13
URB,Urban Basics,2025,4,130799.07,56487.1,74311.97,37156.19,37155.78,132759.63,40306.12,292478.74,76361.56,33968.71
URB,Urban Basics,2025,5,117871.99,50740.96,67131.03,31496.11,35634.92,110234.81,36876.79,204747.54,55339.15,36988.75
URB,Urban Basics,2025,6,149399.97,64336.76,85063.21,38437.45,46625.76,149940.96,50317.45,334565.66,66878.29,47598.74
URB,Urban Basics,2025,7,118554.59,51067.04,67487.55,34914.2,32573.35,111341.42,28831.68,198005.99,58964.19,34084.35
URB,Urban Basics,2025,8,131452.11,56769.7,74682.41,37062.36,37620.05,135053.51,35742.48,304797.12,69506.57,34528.12
URB,Urban Basics,2025,9,148901.81,64106.79,84795.02,37096.71,47698.31,144480.97,42798.91,255847.07,86487.87,43282.44
URB,Urban Basics,2025,10,118616.32,51135.81,67480.51,29733.03,37747.48,122975.44,38347.59,278619.3,63351.84,35373.09
URB,Urban Basics,2025,11,118956.83,51272.61,67684.22,29752.14,37932.08,128218.93,40410.11,280851.81,39915.2,43079.94
URB,Urban Basics,2025,12,204192.21,88197.06,115995.15,55329.13,60666.02,191840.11,62272.3,438783.96,62011.3,60126.33
URB,Urban Basics,2026,1,120924.17,52088.78,68835.39,34588.18,34247.21,116964.8,33821.33,236267.85,47230.35,45180.6
URB,Urban Basics,2026,2,117973.38,50798.02,67175.36,33327.9,33847.46,110622.95,38894.47,271735.17,45440.11,42404.09
URB,Urban Basics,2026,3,148810.79,64125.0,84685.79,34005.28,50680.51,160694.34,53199.61,315493.76,48680.8,55071.41
URB,Urban Basics,2026,4,129498.16,55904.8,73593.36,28790.03,44803.33,124128.19,40005.19,287669.07,46549.57,48316.02
URB,Urban Basics,2026,5,117779.78,50741.74,67038.04,32095.17,34942.87,109038.88,29758.36,193315.05,56743.65,41638.3
URB,Urban Basics,2026,6,119831.96,51696.46,68135.5,28649.93,39485.57,126531.22,34240.69,268515.99,69303.45,41814.34
