po_id,supplier_id,product_id,department,order_date,promised_date,actual_delivery_date,ordered_qty,received_qty,ordered_cost,on_time_flag,in_full_flag,otif_flag
PO00047,SUP01,SKU0002,Menswear,2025-02-17,2025-03-10,2025-03-17,74,74,971.62,False,True,False
PO00048,SUP01,SKU0002,Menswear,2025-03-10,2025-03-31,2025-03-21,77,77,1011.01,True,True,True
PO00049,SUP01,SKU0002,Menswear,2025-03-31,2025-04-21,2025-04-17,69,68,905.97,True,True,True
PO00050,SUP01,SKU0002,Menswear,2025-04-21,2025-05-12,2025-05-12,60,60,787.8,True,True,True
PO00051,SUP01,SKU0002,Menswear,2025-05-12,2025-06-02,2025-05-27,64,62,840.32,True,True,True
PO00052,SUP01,SKU0002,Menswear,2025-06-02,2025-06-23,2025-06-20,80,80,1050.4,True,True,True
PO00053,SUP01,SKU0002,Menswear,2025-06-23,2025-07-14,2025-07-14,83,82,1089.79,True,True,True
PO00054,SUP01,SKU0002,Menswear,2025-07-14,2025-08-04,2025-07-29,66,65,866.58,True,True,True
PO00055,SUP01,SKU0002,Menswear,2025-08-04,2025-08-25,2025-08-20,71,71,932.23,True,True,True
PO00056,SUP01,SKU0002,Menswear,2025-08-25,2025-09-15,2025-09-15,69,69,905.97,True,True,True
PO00057,SUP01,SKU0002,Menswear,2025-09-15,2025-10-06,2025-10-03,75,74,984.75,True,True,True
PO00058,SUP01,SKU0002,Menswear,2025-10-06,2025-10-27,2025-10-23,64,62,840.32,True,True,True
PO00059,SUP01,SKU0002,Menswear,2025-10-27,2025-11-17,2025-11-15,89,89,1168.57,True,True,True
PO00060,SUP01,SKU0002,Menswear,2025-11-17,2025-12-08,2025-12-05,86,86,1129.18,True,True,True
PO00061,SUP01,SKU0002,Menswear,2025-12-08,2025-12-29,2025-12-27,69,68,905.97,True,True,True
PO00062,SUP01,SKU0002,Menswear,2025-12-29,2026-01-19,2026-01-18,71,71,932.23,True,True,True
PO00063,SUP01,SKU0002,Menswear,2026-01-19,2026-02-09,2026-02-02,67,65,879.71,True,True,True
PO00064,SUP01,SKU0002,Menswear,2026-02-09,2026-03-02,2026-03-05,63,62,827.19,False,True,False
PO00065,SUP01,SKU0002,Menswear,2026-03-02,2026-03-23,2026-03-25,65,63,853.45,False,True,False
PO00066,SUP01,SKU0002,Menswear,2026-03-23,2026-04-13,2026-04-13,69,68,905.97,True,True,True
PO00067,SUP01,SKU0002,Menswear,2026-04-13,2026-05-04,2026-05-01,75,75,984.75,True,True,True
PO00068,SUP01,SKU0002,Menswear,2026-05-04,2026-05-25,2026-05-23,66,66,866.58,True,True,True
PO00069,SUP01,SKU0002,Menswear,2026-05-25,2026-06-15,2026-06-12,63,62,827.19,True,True,True
PO00070,SUP01,SKU0002,Menswear,2026-06-15,2026-07-06,2026-06-30,77,76,1011.01,True,True,True
PO00071,SUP01,SKU0003,Menswear,2024-07-01,2024-07-22,2024-07-15,162,160,2170.8,True,True,True
PO00072,SUP01,SKU0003,Menswear,2024-07-22,2024-08-12,2024-08-11,127,125,1701.8,True,True,True
PO00073,SUP01,SKU0003,Menswear,2024-08-12,2024-09-02,2024-09-02,138,138,1849.2,True,True,True
PO00074,SUP01,SKU0003,Menswear,2024-09-02,2024-09-23,2024-09-20,177,173,2371.8,True,True,True
PO00075,SUP01,SKU0003,Menswear,2024-09-23,2024-10-14,2024-10-12,121,120,1621.4,True,True,True
PO00076,SUP01,SKU0003,Menswear,2024-10-14,2024-11-04,2024-11-02,126,125,1688.4,True,True,True
PO00077,SUP01,SKU0003,Menswear,2024-11-04,2024-11-25,2024-11-28,177,173,2371.8,False,True,False
PO00078,SUP01,SKU0003,Menswear,2024-11-25,2024-12-16,2024-12-08,168,165,2251.2,True,True,True
PO00079,SUP01,SKU0003,Menswear,2024-12-16,2025-01-06,2025-01-07,121,118,1621.4,False,True,False
PO00080,SUP01,SKU0003,Menswear,2025-01-06,2025-01-27,2025-01-17,167,165,2237.8,True,True,True
PO00081,SUP01,SKU0003,Menswear,2025-01-27,2025-02-17,2025-02-13,156,152,2090.4,True,True,True
PO00082,SUP01,SKU0003,Menswear,2025-02-17,2025-03-10,2025-03-01,159,154,2130.6,True,True,True
PO00083,SUP01,SKU0003,Menswear,2025-03-10,2025-03-31,2025-03-24,134,130,1795.6,True,True,True
PO00084,SUP01,SKU0003,Menswear,2025-03-31,2025-04-21,2025-04-28,168,163,2251.2,False,True,False
PO00085,SUP01,SKU0003,Menswear,2025-04-21,2025-05-12,2025-05-11,155,155,2077.0,True,True,True
PO00086,SUP01,SKU0003,Menswear,2025-05-12,2025-06-02,2025-05-30,138,138,1849.2,True,True,True
PO00087,SUP01,SKU0003,Menswear,2025-06-02,2025-06-23,2025-06-19,129,127,1728.6,True,True,True
PO00088,SUP01,SKU0003,Menswear,2025-06-23,2025-07-14,2025-07-11,126,124,1688.4,True,True,True
PO00089,SUP01,SKU0003,Menswear,2025-07-14,2025-08-04,2025-07-31,130,130,1742.0,True,True,True
PO00090,SUP01,SKU0003,Menswear,2025-08-04,2025-08-25,2025-08-23,160,159,2144.0,True,True,True
PO00091,SUP01,SKU0003,Menswear,2025-08-25,2025-09-15,2025-09-13,150,147,2010.0,True,True,True
PO00092,SUP01,SKU0003,Menswear,2025-09-15,2025-10-06,2025-10-03,122,122,1634.8,True,True,True
PO00093,SUP01,SKU0003,Menswear,2025-10-06,2025-10-27,2025-10-26,154,151,2063.6,True,True,True
PO00094,SUP01,SKU0003,Menswear,2025-10-27,2025-11-17,2025-11-15,142,138,1902.8,True,True,True
PO00095,SUP01,SKU0003,Menswear,2025-11-17,2025-12-08,2025-12-06,170,170,2278.0,True,True,True
PO00096,SUP01,SKU0003,Menswear,2025-12-08,2025-12-29,2025-12-29,125,125,1675.0,True,True,True
PO00097,SUP01,SKU0003,Menswear,2025-12-29,2026-01-19,2026-01-15,178,177,2385.2,True,True,True
PO00098,SUP01,SKU0003,Menswear,2026-01-19,2026-02-09,2026-02-05,158,156,2117.2,True,True,True
PO00099,SUP01,SKU0003,Menswear,2026-02-09,2026-03-02,2026-02-28,152,152,2036.8,True,True,True
PO00100,SUP01,SKU0003,Menswear,2026-03-02,2026-03-23,2026-03-20,147,146,1969.8,True,True,True
PO00101,SUP01,SKU0003,Menswear,2026-03-23,2026-04-13,2026-04-09,135,130,1809.0,True,True,True
PO00102,SUP01,SKU0003,Menswear,2026-04-13,2026-05-04,2026-05-07,145,140,1943.0,False,True,False
PO00103,SUP01,SKU0003,Menswear,2026-05-04,2026-05-25,2026-05-21,141,139,1889.4,True,True,True
PO00104,SUP01,SKU0003,Menswear,2026-05-25,2026-06-15,2026-06-11,161,161,2157.4,True,True,True
PO00105,SUP01,SKU0003,Menswear,2026-06-15,2026-07-06,2026-07-09,174,174,2331.6,False,True,False
PO00106,SUP01,SKU0004,Menswear,2024-07-01,2024-07-22,2024-07-25,106,106,1281.54,False,True,False
PO00107,SUP01,SKU0004,Menswear,2024-07-22,2024-08-12,2024-08-08,117,116,1414.53,True,True,True
PO00108,SUP01,SKU0004,Menswear,2024-08-12,2024-09-02,2024-09-02,96,93,1160.64,True,True,True
PO00109,SUP01,SKU0004,Menswear,2024-09-02,2024-09-23,2024-09-20,113,113,1366.17,True,True,True
PO00110,SUP01,SKU0004,Menswear,2024-09-23,2024-10-14,2024-10-17,87,87,1051.83,False,True,False
PO00111,SUP01,SKU0004,Menswear,2024-10-14,2024-11-04,2024-11-01,123,120,1487.07,True,True,True
PO00112,SUP01,SKU0004,Menswear,2024-11-04,2024-11-25,2024-11-27,117,117,1414.53,False,True,False
PO00113,SUP01,SKU0004,Menswear,2024-11-25,2024-12-16,2024-12-10,117,116,1414.53,True,True,True
PO00114,SUP01,SKU0004,Menswear,2024-12-16,2025-01-06,2025-01-01,108,107,1305.72,True,True,True
PO00115,SUP01,SKU0004,Menswear,2025-01-06,2025-01-27,2025-01-27,107,102,1293.63,True,True,True
PO00116,SUP01,SKU0004,Menswear,2025-01-27,2025-02-17,2025-02-15,105,105,1269.45,True,True,True
PO00117,SUP01,SKU0004,Menswear,2025-02-17,2025-03-10,2025-02-28,104,102,1257.36,True,True,True
PO00118,SUP01,SKU0004,Menswear,2025-03-10,2025-03-31,2025-03-23,89,89,1076.01,True,True,True
PO00119,SUP01,SKU0004,Menswear,2025-03-31,2025-04-21,2025-04-21,111,109,1341.99,True,True,True
PO00120,SUP01,SKU0004,Menswear,2025-04-21,2025-05-12,2025-05-12,112,111,1354.08,True,True,True
PO00121,SUP01,SKU0004,Menswear,2025-05-12,2025-06-02,2025-05-31,116,113,1402.44,True,True,True
PO00122,SUP01,SKU0004,Menswear,2025-06-02,2025-06-23,2025-06-20,97,97,1172.73,True,True,True
PO00123,SUP01,SKU0004,Menswear,2025-06-23,2025-07-14,2025-07-08,123,122,1487.07,True,True,True
PO00124,SUP01,SKU0004,Menswear,2025-07-14,2025-08-04,2025-07-30,114,111,1378.26,True,True,True
PO00125,SUP01,SKU0004,Menswear,2025-08-04,2025-08-25,2025-08-25,116,115,1402.44,True,True,True
PO00126,SUP01,SKU0004,Menswear,2025-08-25,2025-09-15,2025-09-15,125,125,1511.25,True,True,True
PO00127,SUP01,SKU0004,Menswear,2025-09-15,2025-10-06,2025-10-11,88,87,1063.92,False,True,False
PO00128,SUP01,SKU0004,Menswear,2025-10-06,2025-10-27,2025-10-29,89,87,1076.01,False,True,False
PO00129,SUP01,SKU0004,Menswear,2025-10-27,2025-11-17,2025-11-18,84,81,1015.56,False,True,False
PO00130,SUP01,SKU0004,Menswear,2025-11-17,2025-12-08,2025-11-30,96,94,1160.64,True,True,True
PO00131,SUP01,SKU0004,Menswear,2025-12-08,2025-12-29,2025-12-28,96,95,1160.64,True,True,True
PO00132,SUP01,SKU0004,Menswear,2025-12-29,2026-01-19,2026-01-08,88,87,1063.92,True,True,True
PO00133,SUP01,SKU0004,Menswear,2026-01-19,2026-02-09,2026-02-08,95,95,1148.55,True,True,True
PO00134,SUP01,SKU0004,Menswear,2026-02-09,2026-03-02,2026-02-25,125,124,1511.25,True,True,True
PO00135,SUP01,SKU0004,Menswear,2026-03-02,2026-03-23,2026-03-21,87,87,1051.83,True,True,True
PO00136,SUP01,SKU0004,Menswear,2026-03-23,2026-04-13,2026-04-10,94,93,1136.46,True,True,True
PO00137,SUP01,SKU0004,Menswear,2026-04-13,2026-05-04,2026-04-30,92,92,1112.28,True,True,True
PO00138,SUP01,SKU0004,Menswear,2026-05-04,2026-05-25,2026-05-22,85,85,1027.65,True,True,True
PO00139,SUP01,SKU0004,Menswear,2026-05-25,2026-06-15,2026-06-08,109,105,1317.81,True,True,True
PO00140,SUP01,SKU0004,Menswear,2026-06-15,2026-07-06,2026-07-01,119,119,1438.71,True,True,True
PO00141,SUP01,SKU0005,Menswear,2024-07-01,2024-07-22,2024-07-20,175,175,2257.5,True,True,True
PO00142,SUP01,SKU0005,Menswear,2024-07-22,2024-08-12,2024-08-09,170,170,2193.0,True,True,True
PO00143,SUP01,SKU0005,Menswear,2024-08-12,2024-09-02,2024-08-28,157,154,2025.3,True,True,True
PO00144,SUP01,SKU0005,Menswear,2024-09-02,2024-09-23,2024-09-17,164,161,2115.6,True,True,True
PO00145,SUP01,SKU0005,Menswear,2024-09-23,2024-10-14,2024-10-17,162,157,2089.8,False,True,False
PO00146,SUP01,SKU0005,Menswear,2024-10-14,2024-11-04,2024-10-29,123,123,1586.7,True,True,True
PO00147,SUP01,SKU0005,Menswear,2024-11-04,2024-11-25,2024-11-16,173,173,2231.7,True,True,True
PO00148,SUP01,SKU0005,Menswear,2024-11-25,2024-12-16,2024-12-12,125,122,1612.5,True,True,True
PO00149,SUP01,SKU0005,Menswear,2024-12-16,2025-01-06,2025-01-05,147,145,1896.3,True,True,True
PO00150,SUP01,SKU0005,Menswear,2025-01-06,2025-01-27,2025-01-26,154,154,1986.6,True,True,True
PO00151,SUP01,SKU0005,Menswear,2025-01-27,2025-02-17,2025-02-09,138,138,1780.2,True,True,True
PO00152,SUP01,SKU0005,Menswear,2025-02-17,2025-03-10,2025-03-10,158,157,2038.2,True,True,True
PO00153,SUP01,SKU0005,Menswear,2025-03-10,2025-03-31,2025-03-30,150,150,1935.0,True,True,True
PO00154,SUP01,SKU0005,Menswear,2025-03-31,2025-04-21,2025-04-19,127,126,1638.3,True,True,True
PO00155,SUP01,SKU0005,Menswear,2025-04-21,2025-05-12,2025-05-07,138,137,1780.2,True,True,True
PO00156,SUP01,SKU0005,Menswear,2025-05-12,2025-06-02,2025-06-01,158,154,2038.2,True,True,True
PO00157,SUP01,SKU0005,Menswear,2025-06-02,2025-06-23,2025-06-13,133,129,1715.7,True,True,True
PO00158,SUP01,SKU0005,Menswear,2025-06-23,2025-07-14,2025-07-10,122,122,1573.8,True,True,True
PO00159,SUP01,SKU0005,Menswear,2025-07-14,2025-08-04,2025-07-29,133,132,1715.7,True,True,True
PO00160,SUP01,SKU0005,Menswear,2025-08-04,2025-08-25,2025-08-22,162,161,2089.8,True,True,True
PO00161,SUP01,SKU0005,Menswear,2025-08-25,2025-09-15,2025-09-11,138,138,1780.2,True,True,True
PO00162,SUP01,SKU0005,Menswear,2025-09-15,2025-10-06,2025-10-04,145,145,1870.5,True,True,True
PO00163,SUP01,SKU0005,Menswear,2025-10-06,2025-10-27,2025-10-29,150,149,1935.0,False,True,False
PO00164,SUP01,SKU0005,Menswear,2025-10-27,2025-11-17,2025-11-14,175,173,2257.5,True,True,True
PO00165,SUP01,SKU0005,Menswear,2025-11-17,2025-12-08,2025-12-07,167,163,2154.3,True,True,True
PO00166,SUP01,SKU0005,Menswear,2025-12-08,2025-12-29,2025-12-29,149,149,1922.1,True,True,True
PO00167,SUP01,SKU0005,Menswear,2025-12-29,2026-01-19,2026-01-18,170,168,2193.0,True,True,True
PO00168,SUP01,SKU0005,Menswear,2026-01-19,2026-02-09,2026-02-05,140,140,1806.0,True,True,True
PO00169,SUP01,SKU0005,Menswear,2026-02-09,2026-03-02,2026-02-26,164,157,2115.6,True,True,True
PO00170,SUP01,SKU0005,Menswear,2026-03-02,2026-03-23,2026-03-24,171,171,2205.9,False,True,False
PO00171,SUP01,SKU0005,Menswear,2026-03-23,2026-04-13,2026-04-05,156,148,2012.4,True,False,False
PO00172,SUP01,SKU0005,Menswear,2026-04-13,2026-05-04,2026-05-09,177,176,2283.3,False,True,False
PO00173,SUP01,SKU0005,Menswear,2026-05-04,2026-05-25,2026-05-24,138,133,1780.2,True,True,True
PO00174,SUP01,SKU0005,Menswear,2026-05-25,2026-06-15,2026-06-13,143,141,1844.7,True,True,True
PO00175,SUP01,SKU0005,Menswear,2026-06-15,2026-07-06,2026-07-05,132,132,1702.8,True,True,True
PO00176,SUP01,SKU0006,Womenswear,2024-07-01,2024-07-22,2024-07-22,129,129,1318.38,True,True,True
PO00177,SUP01,SKU0006,Womenswear,2024-07-22,2024-08-12,2024-08-06,153,153,1563.66,True,True,True
PO00178,SUP01,SKU0006,Womenswear,2024-08-12,2024-09-02,2024-09-03,128,126,1308.16,False,True,False
PO00179,SUP01,SKU0006,Womenswear,2024-09-02,2024-09-23,2024-09-21,124,123,1267.28,True,True,True
PO00180,SUP01,SKU0006,Womenswear,2024-09-23,2024-10-14,2024-10-10,148,144,1512.56,True,True,True
PO00181,SUP01,SKU0006,Womenswear,2024-10-14,2024-11-04,2024-11-03,174,168,1778.28,True,True,True
PO00182,SUP01,SKU0006,Womenswear,2024-11-04,2024-11-25,2024-11-21,137,137,1400.14,True,True,True
PO00183,SUP01,SKU0006,Womenswear,2024-11-25,2024-12-16,2024-12-11,149,144,1522.78,True,True,True
PO00184,SUP01,SKU0006,Womenswear,2024-12-16,2025-01-06,2025-01-04,170,168,1737.4,True,True,True
PO00185,SUP01,SKU0006,Womenswear,2025-01-06,2025-01-27,2025-01-24,160,159,1635.2,True,True,True
PO00186,SUP01,SKU0006,Womenswear,2025-01-27,2025-02-17,2025-02-17,141,141,1441.02,True,True,True
PO00187,SUP01,SKU0006,Womenswear,2025-02-17,2025-03-10,2025-03-09,170,169,1737.4,True,True,True
PO00188,SUP01,SKU0006,Womenswear,2025-03-10,2025-03-31,2025-03-28,171,169,1747.62,True,True,True
PO00189,SUP01,SKU0006,Womenswear,2025-03-31,2025-04-21,2025-04-15,155,151,1584.1,True,True,True
PO00190,SUP01,SKU0006,Womenswear,2025-04-21,2025-05-12,2025-05-08,149,146,1522.78,True,True,True
PO00191,SUP01,SKU0006,Womenswear,2025-05-12,2025-06-02,2025-06-01,143,142,1461.46,True,True,True
PO00192,SUP01,SKU0006,Womenswear,2025-06-02,2025-06-23,2025-06-23,130,130,1328.6,True,True,True
PO00193,SUP01,SKU0006,Womenswear,2025-06-23,2025-07-14,2025-07-09,121,121,1236.62,True,True,True
PO00194,SUP01,SKU0006,Womenswear,2025-07-14,2025-08-04,2025-07-27,138,136,1410.36,True,True,True
PO00195,SUP01,SKU0006,Womenswear,2025-08-04,2025-08-25,2025-08-19,136,135,1389.92,True,True,True
PO00196,SUP01,SKU0006,Womenswear,2025-08-25,2025-09-15,2025-09-16,178,178,1819.16,False,True,False
PO00197,SUP01,SKU0006,Womenswear,2025-09-15,2025-10-06,2025-10-05,165,157,1686.3,True,True,True
PO00198,SUP01,SKU0006,Womenswear,2025-10-06,2025-10-27,2025-10-23,177,172,1808.94,True,True,True
PO00199,SUP01,SKU0006,Womenswear,2025-10-27,2025-11-17,2025-11-20,126,123,1287.72,False,True,False
PO00200,SUP01,SKU0006,Womenswear,2025-11-17,2025-12-08,2025-12-06,153,153,1563.66,True,True,True
PO00201,SUP01,SKU0006,Womenswear,2025-12-08,2025-12-29,2025-12-27,179,179,1829.38,True,True,True
PO00202,SUP01,SKU0006,Womenswear,2025-12-29,2026-01-19,2026-01-15,164,158,1676.08,True,True,True
PO00203,SUP01,SKU0006,Womenswear,2026-01-19,2026-02-09,2026-02-05,122,120,1246.84,True,True,True
PO00204,SUP01,SKU0006,Womenswear,2026-02-09,2026-03-02,2026-02-28,179,172,1829.38,True,True,True
PO00205,SUP01,SKU0006,Womenswear,2026-03-02,2026-03-23,2026-03-18,144,144,1471.68,True,True,True
PO00206,SUP01,SKU0006,Womenswear,2026-03-23,2026-04-13,2026-04-08,153,153,1563.66,True,True,True
PO00207,SUP01,SKU0006,Womenswear,2026-04-13,2026-05-04,2026-05-03,169,163,1727.18,True,True,True
PO00208,SUP01,SKU0006,Womenswear,2026-05-04,2026-05-25,2026-05-19,122,121,1246.84,True,True,True
PO00209,SUP01,SKU0006,Womenswear,2026-05-25,2026-06-15,2026-06-14,162,158,1655.64,True,True,True
PO00210,SUP01,SKU0006,Womenswear,2026-06-15,2026-07-06,2026-07-06,164,163,1676.08,True,True,True
PO00211,SUP01,SKU0007,Womenswear,2024-07-01,2024-07-22,2024-07-24,134,132,1680.36,False,True,False
PO00212,SUP01,SKU0007,Womenswear,2024-07-22,2024-08-12,2024-08-10,120,118,1504.8,True,True,True
PO00213,SUP01,SKU0007,Womenswear,2024-08-12,2024-09-02,2024-08-29,121,119,1517.34,True,True,True
PO00214,SUP01,SKU0007,Womenswear,2024-09-02,2024-09-23,2024-09-17,160,153,2006.4,True,True,True
PO00215,SUP01,SKU0007,Womenswear,2024-09-23,2024-10-14,2024-10-19,140,138,1755.6,False,True,False
PO00216,SUP01,SKU0007,Womenswear,2024-10-14,2024-11-04,2024-10-31,155,153,1943.7,True,True,True
PO00217,SUP01,SKU0007,Womenswear,2024-11-04,2024-11-25,2024-11-19,173,173,2169.42,True,True,True
PO00218,SUP01,SKU0007,Womenswear,2024-11-25,2024-12-16,2024-12-08,140,140,1755.6,True,True,True
PO00219,SUP01,SKU0007,Womenswear,2024-12-16,2025-01-06,2025-01-04,179,176,2244.66,True,True,True
PO00220,SUP01,SKU0007,Womenswear,2025-01-06,2025-01-27,2025-01-27,128,123,1605.12,True,True,True
PO00221,SUP01,SKU0007,Womenswear,2025-01-27,2025-02-17,2025-02-13,143,143,1793.22,True,True,True
PO00222,SUP01,SKU0007,Womenswear,2025-02-17,2025-03-10,2025-03-12,128,125,1605.12,False,True,False
PO00223,SUP01,SKU0007,Womenswear,2025-03-10,2025-03-31,2025-03-30,132,129,1655.28,True,True,True
PO00224,SUP01,SKU0007,Womenswear,2025-03-31,2025-04-21,2025-04-22,158,156,1981.32,False,True,False
PO00225,SUP01,SKU0007,Womenswear,2025-04-21,2025-05-12,2025-05-09,177,173,2219.58,True,True,True
PO00226,SUP01,SKU0007,Womenswear,2025-05-12,2025-06-02,2025-05-30,137,132,1717.98,True,True,True
PO00227,SUP01,SKU0007,Womenswear,2025-06-02,2025-06-23,2025-06-22,139,137,1743.06,True,True,True
PO00228,SUP01,SKU0007,Womenswear,2025-06-23,2025-07-14,2025-07-14,164,163,2056.56,True,True,True
PO00229,SUP01,SKU0007,Womenswear,2025-07-14,2025-08-04,2025-07-28,137,137,1717.98,True,True,True
PO00230,SUP01,SKU0007,Womenswear,2025-08-04,2025-08-25,2025-08-30,129,129,1617.66,False,True,False
PO00231,SUP01,SKU0007,Womenswear,2025-08-25,2025-09-15,2025-09-12,167,167,2094.18,True,True,True
PO00232,SUP01,SKU0007,Womenswear,2025-09-15,2025-10-06,2025-10-07,148,145,1855.92,False,True,False
PO00233,SUP01,SKU0007,Womenswear,2025-10-06,2025-10-27,2025-10-23,168,165,2106.72,True,True,True
PO00234,SUP01,SKU0007,Womenswear,2025-10-27,2025-11-17,2025-11-17,131,131,1642.74,True,True,True
PO00235,SUP01,SKU0007,Womenswear,2025-11-17,2025-12-08,2025-12-04,159,158,1993.86,True,True,True
PO00236,SUP01,SKU0007,Womenswear,2025-12-08,2025-12-29,2025-12-29,145,139,1818.3,True,True,True
PO00237,SUP01,SKU0007,Womenswear,2025-12-29,2026-01-19,2026-01-14,126,120,1580.04,True,True,True
PO00238,SUP01,SKU0007,Womenswear,2026-01-19,2026-02-09,2026-02-03,123,121,1542.42,True,True,True
PO00239,SUP01,SKU0007,Womenswear,2026-02-09,2026-03-02,2026-02-27,138,134,1730.52,True,True,True
PO00240,SUP01,SKU0007,Womenswear,2026-03-02,2026-03-23,2026-03-23,143,139,1793.22,True,True,True
PO00241,SUP01,SKU0007,Womenswear,2026-03-23,2026-04-13,2026-04-12,132,130,1655.28,True,True,True
PO00242,SUP01,SKU0007,Womenswear,2026-04-13,2026-05-04,2026-05-01,144,144,1805.76,True,True,True
