date_key,store_id,product_id,units_sold,gross_sales_value,discount_value,net_sales_value,cogs_value,cash_sales_value,credit_sales_value,cash_transactions,credit_transactions
2025-02-24,ST003,SKU0001,6.95,202.59,0.0,202.59,93.51,68.91,133.68,1.48,2.87
2025-03-03,ST003,SKU0001,6.35,184.9,0.0,184.9,85.34,68.44,116.46,1.47,2.5
2025-03-10,ST003,SKU0001,6.28,183.14,0.0,183.14,84.53,69.95,113.19,1.5,2.43
2025-03-17,ST003,SKU0001,7.91,230.55,0.0,230.55,106.41,84.61,145.94,1.81,3.13
2025-03-24,ST003,SKU0001,6.76,196.97,0.0,196.97,90.92,73.15,123.83,1.57,2.66
2025-03-31,ST003,SKU0001,6.74,196.42,0.0,196.42,90.66,77.67,118.75,1.67,2.55
2025-04-07,ST003,SKU0001,5.46,159.15,0.0,159.15,73.46,52.82,106.33,1.13,2.28
2025-04-14,ST003,SKU0001,5.33,155.25,0.0,155.25,71.66,42.52,112.73,0.91,2.42
2025-04-21,ST003,SKU0001,8.15,237.36,0.0,237.36,109.56,93.38,143.98,2.0,3.09
2025-04-28,ST003,SKU0001,6.4,186.37,0.0,186.37,86.02,50.98,135.39,1.09,2.9
2025-05-05,ST003,SKU0001,4.51,131.42,0.0,131.42,60.66,42.25,89.17,0.91,1.91
2025-05-12,ST003,SKU0001,9.03,263.23,0.0,263.23,121.5,97.5,165.73,2.09,3.55
2025-05-19,ST003,SKU0001,6.53,190.28,0.0,190.28,87.83,70.77,119.51,1.52,2.56
2025-05-26,ST003,SKU0001,5.69,165.77,0.0,165.77,76.51,55.33,110.44,1.19,2.37
2025-06-02,ST003,SKU0001,7.08,206.41,0.0,206.41,95.27,71.08,135.34,1.52,2.9
2025-06-09,ST003,SKU0001,7.66,223.34,0.0,223.34,103.08,81.72,141.62,1.75,3.04
2025-06-16,ST003,SKU0001,7.56,220.34,0.0,220.34,101.7,69.24,151.1,1.49,3.24
2025-06-23,ST003,SKU0001,7.75,225.96,0.0,225.96,104.29,97.18,128.77,2.08,2.76
2025-06-30,ST003,SKU0001,6.19,180.23,0.0,180.23,83.19,54.84,125.39,1.18,2.69
