trading_year,trading_period,period_start,chain_code,chain_name,department,opening_stock_cost,planned_sales_cost,planned_markdown_cost,planned_receipts_cost,committed_receipts_cost,otb_value,planned_closing_stock_cost
TY2,P07,2025-12-15,MER,Meridian Fashion,Menswear,84582.83,51411.76,3960.45,54808.97,31946.73,22862.24,84019.59
TY2,P08,2026-01-12,MER,Meridian Fashion,Menswear,84019.59,51646.6,2066.81,46775.19,20605.48,26169.71,77081.37
TY2,P09,2026-02-09,MER,Meridian Fashion,Menswear,77081.37,51028.99,2945.02,47983.47,30012.23,17971.24,71090.83
TY2,P10,2026-03-09,MER,Meridian Fashion,Menswear,71090.83,51274.31,3680.43,51865.97,29639.3,22226.67,68002.06
TY2,P11,2026-04-06,MER,Meridian Fashion,Menswear,68002.06,51057.26,3462.55,50569.82,22222.53,28347.29,64052.07
TY2,P12,2026-05-04,MER,Meridian Fashion,Menswear,64052.07,50381.93,4419.19,56787.75,40595.76,16191.99,66038.7
TY2,P13,2026-06-01,MER,Meridian Fashion,Menswear,66038.7,50191.4,4424.4,54943.91,39702.5,15241.41,66366.81
TY1,P01,2024-07-01,MER,Meridian Fashion,Womenswear,80031.23,34886.66,2935.93,35373.12,17370.45,18002.67,77581.76
TY1,P02,2024-07-29,MER,Meridian Fashion,Womenswear,77581.76,35038.21,2268.84,33082.84,25985.79,7097.05,73357.55
TY1,P03,2024-08-26,MER,Meridian Fashion,Womenswear,73357.55,35063.49,2565.52,35344.81,24115.37,11229.44,71073.35
TY1,P04,2024-09-23,MER,Meridian Fashion,Womenswear,71073.35,35625.13,2457.81,32814.7,19265.95,13548.75,65805.11
TY1,P05,2024-10-21,MER,Meridian Fashion,Womenswear,65805.11,35703.5,2129.34,35077.45,16312.27,18765.18,63049.72
TY1,P06,2024-11-18,MER,Meridian Fashion,Womenswear,63049.72,36225.95,2364.06,34148.33,27875.42,6272.91,58608.04
TY1,P07,2024-12-16,MER,Meridian Fashion,Womenswear,58608.04,36084.74,1833.54,37807.02,15510.77,22296.25,58496.78
TY1,P08,2025-01-13,MER,Meridian Fashion,Womenswear,58496.78,35554.0,2095.49,38955.94,17032.65,21923.29,59803.23
TY1,P09,2025-02-10,MER,Meridian Fashion,Womenswear,59803.23,36263.92,2155.62,41139.84,27040.3,14099.54,62523.53
TY1,P10,2025-03-10,MER,Meridian Fashion,Womenswear,62523.53,35490.76,1633.23,34883.59,22126.75,12756.84,60283.13
TY1,P11,2025-04-07,MER,Meridian Fashion,Womenswear,60283.13,35273.52,1103.95,39032.72,31353.9,7678.82,62938.38
TY1,P12,2025-05-05,MER,Meridian Fashion,Womenswear,62938.38,35217.56,2227.23,32651.75,22938.12,9713.63,58145.34
TY1,P13,2025-06-02,MER,Meridian Fashion,Womenswear,58145.34,35198.62,2591.31,38442.59,17240.86,21201.73,58798.0
TY2,P01,2025-06-30,MER,Meridian Fashion,Womenswear,58798.0,35022.88,1534.45,31848.17,20691.23,11156.94,54088.84
TY2,P02,2025-07-28,MER,Meridian Fashion,Womenswear,54088.84,35768.33,2853.86,39418.95,21393.16,18025.79,54885.6
TY2,P03,2025-08-25,MER,Meridian Fashion,Womenswear,54885.6,36101.54,1713.2,37139.97,19133.93,18006.04,54210.83
TY2,P04,2025-09-22,MER,Meridian Fashion,Womenswear,54210.83,35865.15,1430.18,32681.32,19471.32,13210.0,49596.82
TY2,P05,2025-10-20,MER,Meridian Fashion,Womenswear,49596.82,35406.81,2956.49,38492.58,30827.04,7665.54,49726.1
TY2,P06,2025-11-17,MER,Meridian Fashion,Womenswear,49726.1,35364.81,2161.9,34621.52,25876.32,8745.2,46820.91
TY2,P07,2025-12-15,MER,Meridian Fashion,Womenswear,46820.91,35219.48,1846.19,32529.3,23943.36,8585.94,42284.54
TY2,P08,2026-01-12,MER,Meridian Fashion,Womenswear,42284.54,35284.02,3041.79,33881.22,15424.12,18457.1,37839.95
TY2,P09,2026-02-09,MER,Meridian Fashion,Womenswear,37839.95,35892.2,1406.87,33911.56,22711.33,11200.23,34452.44
TY2,P10,2026-03-09,MER,Meridian Fashion,Womenswear,34452.44,35494.85,1725.74,38843.83,32524.79,6319.04,36075.68
TY2,P11,2026-04-06,MER,Meridian Fashion,Womenswear,36075.68,35493.03,1371.23,32067.39,16140.97,15926.42,31278.81
TY2,P12,2026-05-04,MER,Meridian Fashion,Womenswear,31278.81,35525.19,2510.19,33054.7,20753.34,12301.36,26298.13
TY2,P13,2026-06-01,MER,Meridian Fashion,Womenswear,26298.13,35225.63,2284.98,33462.37,25493.51,7968.86,22249.89
TY1,P01,2024-07-01,MER,Meridian Fashion,Kidswear,129261.75,47207.78,1766.76,53434.04,30933.51,22500.53,133721.25
TY1,P02,2024-07-29,MER,Meridian Fashion,Kidswear,133721.25,47053.09,2790.96,50145.23,41622.07,8523.16,134022.43
TY1,P03,2024-08-26,MER,Meridian Fashion,Kidswear,134022.43,46980.39,4016.28,42574.33,27666.47,14907.86,125600.09
TY1,P04,2024-09-23,MER,Meridian Fashion,Kidswear,125600.09,47063.34,1710.93,44008.22,25903.3,18104.92,120834.04
TY1,P05,2024-10-21,MER,Meridian Fashion,Kidswear,120834.04,48248.15,3172.92,54677.5,41662.2,13015.3,124090.47
TY1,P06,2024-11-18,MER,Meridian Fashion,Kidswear,124090.47,47542.07,3664.82,42999.86,19311.87,23687.99,115883.44
TY1,P07,2024-12-16,MER,Meridian Fashion,Kidswear,115883.44,47195.45,3672.23,45220.8,28889.14,16331.66,110236.56
TY1,P08,2025-01-13,MER,Meridian Fashion,Kidswear,110236.56,46694.04,3831.92,49065.01,28735.28,20329.73,108775.61
TY1,P09,2025-02-10,MER,Meridian Fashion,Kidswear,108775.61,46284.59,3199.0,51693.99,31236.28,20457.71,110986.01
TY1,P10,2025-03-10,MER,Meridian Fashion,Kidswear,110986.01,47270.11,2089.33,51359.14,39415.88,11943.26,112985.71
TY1,P11,2025-04-07,MER,Meridian Fashion,Kidswear,112985.71,48643.34,1653.56,51007.82,23758.32,27249.5,113696.63
TY1,P12,2025-05-05,MER,Meridian Fashion,Kidswear,113696.63,49484.23,2405.93,46315.65,37721.17,8594.48,108122.12
TY1,P13,2025-06-02,MER,Meridian Fashion,Kidswear,108122.12,49699.37,2340.01,46638.06,21079.03,25559.03,102720.8
TY2,P01,2025-06-30,MER,Meridian Fashion,Kidswear,102720.8,49581.0,1652.22,46787.62,19838.97,26948.65,98275.2
TY2,P02,2025-07-28,MER,Meridian Fashion,Kidswear,98275.2,49814.8,3529.02,49735.48,27011.14,22724.34,94666.86
TY2,P03,2025-08-25,MER,Meridian Fashion,Kidswear,94666.86,49841.27,4111.92,55462.51,23270.06,32192.45,96176.18
TY2,P04,2025-09-22,MER,Meridian Fashion,Kidswear,96176.18,49792.79,2238.85,51924.33,30496.1,21428.23,96068.87
TY2,P05,2025-10-20,MER,Meridian Fashion,Kidswear,96068.87,49412.84,2590.07,50941.59,22707.33,28234.26,95007.55
TY2,P06,2025-11-17,MER,Meridian Fashion,Kidswear,95007.55,50001.42,1655.93,56562.13,25147.57,31414.56,99912.33
TY2,P07,2025-12-15,MER,Meridian Fashion,Kidswear,99912.33,50465.15,4247.11,57777.18,43963.33,13813.85,102977.25
TY2,P08,2026-01-12,MER,Meridian Fashion,Kidswear,102977.25,50598.23,3468.46,55392.37,25510.87,29881.5,104302.93
TY2,P09,2026-02-09,MER,Meridian Fashion,Kidswear,104302.93,50470.74,3071.31,56244.24,34211.11,22033.13,107005.12
TY2,P10,2026-03-09,MER,Meridian Fashion,Kidswear,107005.12,50351.2,3442.7,48670.27,22529.26,26141.01,101881.49
TY2,P11,2026-04-06,MER,Meridian Fashion,Kidswear,101881.49,49466.67,2721.33,47396.12,26796.83,20599.29,97089.61
TY2,P12,2026-05-04,MER,Meridian Fashion,Kidswear,97089.61,49893.97,2477.22,49637.82,35172.59,14465.23,94356.24
TY2,P13,2026-06-01,MER,Meridian Fashion,Kidswear,94356.24,49727.1,4322.85,56146.22,34609.07,21537.15,96452.51
TY1,P01,2024-07-01,MER,Meridian Fashion,School Uniforms,75495.75,30295.53,2095.09,33358.35,21340.17,12018.18,76463.48
TY1,P02,2024-07-29,MER,Meridian Fashion,School Uniforms,76463.48,30315.69,1433.61,32853.82,16133.92,16719.9,77568.0
TY1,P03,2024-08-26,MER,Meridian Fashion,School Uniforms,77568.0,30552.87,2494.43,28506.61,19283.89,9222.72,73027.31
TY1,P04,2024-09-23,MER,Meridian Fashion,School Uniforms,73027.31,30782.28,2263.82,28354.28,23283.77,5070.51,68335.49
TY1,P05,2024-10-21,MER,Meridian Fashion,School Uniforms,68335.49,30761.67,2692.66,33844.64,22579.69,11264.95,68725.8
TY1,P06,2024-11-18,MER,Meridian Fashion,School Uniforms,68725.8,30957.79,2405.63,35183.74,18085.23,17098.51,70546.12
TY1,P07,2024-12-16,MER,Meridian Fashion,School Uniforms,70546.12,30581.17,1091.84,32233.82,15378.15,16855.67,71106.93
TY1,P08,2025-01-13,MER,Meridian Fashion,School Uniforms,71106.93,30934.47,1990.5,31444.77,19973.22,11471.55,69626.73
TY1,P09,2025-02-10,MER,Meridian Fashion,School Uniforms,69626.73,30956.76,2413.22,31669.95,21213.07,10456.88,67926.7
TY1,P10,2025-03-10,MER,Meridian Fashion,School Uniforms,67926.7,30773.77,1144.29,28597.32,12567.64,16029.68,64605.96
TY1,P11,2025-04-07,MER,Meridian Fashion,School Uniforms,64605.96,30887.13,1702.39,33777.56,23713.68,10063.88,65794.0
TY1,P12,2025-05-05,MER,Meridian Fashion,School Uniforms,65794.0,31217.15,2619.18,34046.46,17763.42,16283.04,66004.13
TY1,P13,2025-06-02,MER,Meridian Fashion,School Uniforms,66004.13,30947.64,1512.3,29072.3,13562.3,15510.0,62616.49
TY2,P01,2025-06-30,MER,Meridian Fashion,School Uniforms,62616.49,31257.06,1758.97,31126.72,22671.41,8455.31,60727.18
TY2,P02,2025-07-28,MER,Meridian Fashion,School Uniforms,60727.18,31024.63,2673.34,33974.31,20918.54,13055.77,61003.52
TY2,P03,2025-08-25,MER,Meridian Fashion,School Uniforms,61003.52,31028.18,2767.65,33493.06,27733.51,5759.55,60700.75
TY2,P04,2025-09-22,MER,Meridian Fashion,School Uniforms,60700.75,31200.11,2528.21,33049.29,15032.96,18016.33,60021.72
TY2,P05,2025-10-20,MER,Meridian Fashion,School Uniforms,60021.72,31700.64,2256.0,28628.08,17304.04,11324.04,54693.16
TY2,P06,2025-11-17,MER,Meridian Fashion,School Uniforms,54693.16,31192.71,1488.56,31649.28,18959.23,12690.05,53661.17
TY2,P07,2025-12-15,MER,Meridian Fashion,School Uniforms,53661.17,31329.85,2666.37,34316.32,15434.27,18882.05,53981.27
TY2,P08,2026-01-12,MER,Meridian Fashion,School Uniforms,53981.27,30606.1,2532.72,29717.82,23078.96,6638.86,50560.27
TY2,P09,2026-02-09,MER,Meridian Fashion,School Uniforms,50560.27,30820.94,2772.23,32868.1,22763.01,10105.09,49835.2
TY2,P10,2026-03-09,MER,Meridian Fashion,School Uniforms,49835.2,31055.22,2603.11,28174.84,14323.32,13851.52,44351.71
TY2,P11,2026-04-06,MER,Meridian Fashion,School Uniforms,44351.71,30999.44,2374.75,29435.55,23836.53,5599.02,40413.07
TY2,P12,2026-05-04,MER,Meridian Fashion,School Uniforms,40413.07,31161.0,1002.44,28087.2,11887.8,16199.4,36336.83
TY2,P13,2026-06-01,MER,Meridian Fashion,School Uniforms,36336.83,30539.94,2384.83,29307.29,22925.16,6382.13,32719.35
TY1,P01,2024-07-01,MER,Meridian Fashion,Sportswear,49228.16,17525.37,1337.65,18831.54,14633.82,4197.72,49196.68
TY1,P02,2024-07-29,MER,Meridian Fashion,Sportswear,49196.68,17513.25,656.67,17970.92,13214.64,4756.28,48997.68
TY1,P03,2024-08-26,MER,Meridian Fashion,Sportswear,48997.68,17529.39,1421.07,16456.65,12022.89,4433.76,46503.87
TY1,P04,2024-09-23,MER,Meridian Fashion,Sportswear,46503.87,17373.7,803.46,18719.75,15745.03,2974.72,47046.46
TY1,P05,2024-10-21,MER,Meridian Fashion,Sportswear,47046.46,17133.56,570.03,18060.1,7568.22,10491.88,47402.97
TY1,P06,2024-11-18,MER,Meridian Fashion,Sportswear,47402.97,17111.11,1241.83,16140.6,7122.43,9018.17,45190.63
TY1,P07,2024-12-16,MER,Meridian Fashion,Sportswear,45190.63,17019.75,1511.38,17268.92,13000.67,4268.25,43928.42
TY1,P08,2025-01-13,MER,Meridian Fashion,Sportswear,43928.42,16987.54,1093.06,15905.14,13133.05,2772.09,41752.96
TY1,P09,2025-02-10,MER,Meridian Fashion,Sportswear,41752.96,16929.31,1095.01,18198.06,12595.88,5602.18,41926.7
TY1,P10,2025-03-10,MER,Meridian Fashion,Sportswear,41926.7,17118.0,666.0,17581.7,10229.31,7352.39,41724.4
TY1,P11,2025-04-07,MER,Meridian Fashion,Sportswear,41724.4,17451.98,648.39,16291.84,8555.4,7736.44,39915.87
TY1,P12,2025-05-05,MER,Meridian Fashion,Sportswear,39915.87,17639.8,982.08,18570.24,12731.44,5838.8,39864.23
TY1,P13,2025-06-02,MER,Meridian Fashion,Sportswear,39864.23,17695.17,964.86,16888.4,11226.36,5662.04,38092.6
TY2,P01,2025-06-30,MER,Meridian Fashion,Sportswear,38092.6,17497.45,562.78,17577.94,10781.6,6796.34,37610.31
TY2,P02,2025-07-28,MER,Meridian Fashion,Sportswear,37610.31,17690.97,1138.37,18424.14,13189.86,5234.28,37205.11
TY2,P03,2025-08-25,MER,Meridian Fashion,Sportswear,37205.11,17640.66,1219.78,17271.15,13028.4,4242.75,35615.82
TY2,P04,2025-09-22,MER,Meridian Fashion,Sportswear,35615.82,17828.34,996.34,18835.7,10591.24,8244.46,35626.84
TY2,P05,2025-10-20,MER,Meridian Fashion,Sportswear,35626.84,17868.11,1325.86,20040.89,16322.82,3718.07,36473.76
TY2,P06,2025-11-17,MER,Meridian Fashion,Sportswear,36473.76,17857.96,1093.2,19643.18,10636.84,9006.34,37165.78
TY2,P07,2025-12-15,MER,Meridian Fashion,Sportswear,37165.78,17705.89,1056.13,16448.14,7112.61,9335.53,34851.9
TY2,P08,2026-01-12,MER,Meridian Fashion,Sportswear,34851.9,17898.05,596.61,17363.84,9556.34,7807.5,33721.08
TY2,P09,2026-02-09,MER,Meridian Fashion,Sportswear,33721.08,17842.81,871.33,19371.46,7876.58,11494.88,34378.4
TY2,P10,2026-03-09,MER,Meridian Fashion,Sportswear,34378.4,17487.59,1423.37,17366.32,8146.99,9219.33,32833.76
TY2,P11,2026-04-06,MER,Meridian Fashion,Sportswear,32833.76,17361.77,645.52,17209.5,14306.14,2903.36,32035.97
TY2,P12,2026-05-04,MER,Meridian Fashion,Sportswear,32035.97,17782.0,1357.23,17386.18,12334.61,5051.57,30282.92
TY2,P13,2026-06-01,MER,Meridian Fashion,Sportswear,30282.92,17504.43,932.47,18558.58,7513.02,11045.56,30404.6
TY1,P01,2024-07-01,MER,Meridian Fashion,Footwear,61631.33,24570.72,981.71,27250.8,23029.92,4220.88,63329.7
TY1,P02,2024-07-29,MER,Meridian Fashion,Footwear,63329.7,24332.34,1954.96,27923.32,12948.55,14974.77,64965.72
TY1,P03,2024-08-26,MER,Meridian Fashion,Footwear,64965.72,24673.93,1321.4,22700.32,16795.93,5904.39,61670.71
TY1,P04,2024-09-23,MER,Meridian Fashion,Footwear,61670.71,24737.64,1438.73,23195.7,11166.8,12028.9,58690.04
TY1,P05,2024-10-21,MER,Meridian Fashion,Footwear,58690.04,24626.68,804.77,23597.61,12540.4,11057.21,56856.2
TY1,P06,2024-11-18,MER,Meridian Fashion,Footwear,56856.2,24494.0,1596.68,25065.26,10974.87,14090.39,55830.78
TY1,P07,2024-12-16,MER,Meridian Fashion,Footwear,55830.78,24080.91,1941.29,25511.25,17656.77,7854.48,55319.83
TY1,P08,2025-01-13,MER,Meridian Fashion,Footwear,55319.83,24019.9,1820.09,21966.85,12410.69,9556.16,51446.69
TY1,P09,2025-02-10,MER,Meridian Fashion,Footwear,51446.69,24189.68,1216.92,26877.63,16587.73,10289.9,52917.72
TY1,P10,2025-03-10,MER,Meridian Fashion,Footwear,52917.72,24261.38,1968.11,24896.98,20149.09,4747.89,51585.21
TY1,P11,2025-04-07,MER,Meridian Fashion,Footwear,51585.21,24078.57,1950.76,23720.95,14812.97,8907.98,49276.83
TY1,P12,2025-05-05,MER,Meridian Fashion,Footwear,49276.83,23954.86,869.53,23946.19,19463.51,4482.68,48398.63
TY1,P13,2025-06-02,MER,Meridian Fashion,Footwear,48398.63,23967.11,974.27,23600.75,11475.19,12125.56,47058.0
TY2,P01,2025-06-30,MER,Meridian Fashion,Footwear,47058.0,23928.85,2049.45,24217.24,13038.34,11178.9,45296.94
TY2,P02,2025-07-28,MER,Meridian Fashion,Footwear,45296.94,23582.33,717.82,22863.2,16378.4,6484.8,43859.99
TY2,P03,2025-08-25,MER,Meridian Fashion,Footwear,43859.99,23627.1,2100.65,24928.7,15328.1,9600.6,43060.94
TY2,P04,2025-09-22,MER,Meridian Fashion,Footwear,43060.94,23567.43,1984.37,25456.92,21216.94,4239.98,42966.06
TY2,P05,2025-10-20,MER,Meridian Fashion,Footwear,42966.06,23498.2,1927.04,21818.69,15918.61,5900.08,39359.51
TY2,P06,2025-11-17,MER,Meridian Fashion,Footwear,39359.51,23221.71,1467.29,24696.88,20656.89,4039.99,39367.39
TY2,P07,2025-12-15,MER,Meridian Fashion,Footwear,39367.39,22937.86,1084.82,24851.76,18327.99,6523.77,40196.47
TY2,P08,2026-01-12,MER,Meridian Fashion,Footwear,40196.47,22840.62,854.97,20790.37,15588.71,5201.66,37291.25
TY2,P09,2026-02-09,MER,Meridian Fashion,Footwear,37291.25,22721.72,2025.24,23090.8,19397.72,3693.08,35635.09
TY2,P10,2026-03-09,MER,Meridian Fashion,Footwear,35635.09,22838.83,1772.77,21039.24,13674.62,7364.62,32062.73
TY2,P11,2026-04-06,MER,Meridian Fashion,Footwear,32062.73,22693.43,1939.88,25090.89,10453.79,14637.1,32520.31
TY2,P12,2026-05-04,MER,Meridian Fashion,Footwear,32520.31,22310.91,734.52,20689.37,14562.99,6126.38,30164.25
TY2,P13,2026-06-01,MER,Meridian Fashion,Footwear,30164.25,21993.26,1680.8,24552.49,17990.69,6561.8,31042.68
TY1,P01,2024-07-01,MER,Meridian Fashion,Home & Textiles,104577.51,50725.85,3414.55,56535.55,22728.71,33806.84,106972.66
TY1,P02,2024-07-29,MER,Meridian Fashion,Home & Textiles,106972.66,50862.26,3592.77,46152.51,26796.61,19355.9,98670.14
TY1,P03,2024-08-26,MER,Meridian Fashion,Home & Textiles,98670.14,50652.89,3560.73,48597.12,38088.07,10509.05,93053.64
TY1,P04,2024-09-23,MER,Meridian Fashion,Home & Textiles,93053.64,51468.88,4179.31,50168.57,33394.41,16774.16,87574.02
TY1,P05,2024-10-21,MER,Meridian Fashion,Home & Textiles,87574.02,51309.08,2385.33,57550.29,27878.35,29671.94,91429.9
TY1,P06,2024-11-18,MER,Meridian Fashion,Home & Textiles,91429.9,51606.44,2606.93,55704.5,42521.71,13182.79,92921.03
TY1,P07,2024-12-16,MER,Meridian Fashion,Home & Textiles,92921.03,52665.76,2516.46,52770.33,24357.18,28413.15,90509.14
TY1,P08,2025-01-13,MER,Meridian Fashion,Home & Textiles,90509.14,52989.79,4761.39,56975.7,38050.98,18924.72,89733.66
TY1,P09,2025-02-10,MER,Meridian Fashion,Home & Textiles,89733.66,53076.9,4507.18,54362.91,25032.22,29330.69,86512.49
TY1,P10,2025-03-10,MER,Meridian Fashion,Home & Textiles,86512.49,53962.16,1836.33,51290.75,20924.11,30366.64,82004.75
TY1,P11,2025-04-07,MER,Meridian Fashion,Home & Textiles,82004.75,53493.21,3641.41,52734.84,31069.88,21664.96,77604.97
TY1,P12,2025-05-05,MER,Meridian Fashion,Home & Textiles,77604.97,52588.12,3950.3,54439.97,28746.67,25693.3,75506.52
TY1,P13,2025-06-02,MER,Meridian Fashion,Home & Textiles,75506.52,52545.22,2317.55,51564.5,41719.76,9844.74,72208.25
TY2,P01,2025-06-30,MER,Meridian Fashion,Home & Textiles,72208.25,52270.55,3896.2,54763.13,38008.22,16754.91,70804.63
TY2,P02,2025-07-28,MER,Meridian Fashion,Home & Textiles,70804.63,51897.41,2308.52,50891.8,23916.54,26975.26,67490.5
TY2,P03,2025-08-25,MER,Meridian Fashion,Home & Textiles,67490.5,53133.92,3384.07,58340.7,43914.26,14426.44,69313.21
TY2,P04,2025-09-22,MER,Meridian Fashion,Home & Textiles,69313.21,53567.9,3137.76,61532.13,43292.09,18240.04,74139.68
TY2,P05,2025-10-20,MER,Meridian Fashion,Home & Textiles,74139.68,53334.66,2192.63,55496.99,24743.46,30753.53,74109.38
TY2,P06,2025-11-17,MER,Meridian Fashion,Home & Textiles,74109.38,53089.94,4635.86,54586.17,32469.91,22116.26,70969.75
TY2,P07,2025-12-15,MER,Meridian Fashion,Home & Textiles,70969.75,53595.39,4694.23,49615.97,20763.57,28852.4,62296.1
TY2,P08,2026-01-12,MER,Meridian Fashion,Home & Textiles,62296.1,52351.78,1776.39,53073.16,33554.95,19518.21,61241.09
TY2,P09,2026-02-09,MER,Meridian Fashion,Home & Textiles,61241.09,52934.44,1749.89,49117.87,28145.86,20972.01,55674.63
TY2,P10,2026-03-09,MER,Meridian Fashion,Home & Textiles,55674.63,53489.81,3845.46,50909.2,27283.88,23625.32,49248.56
TY2,P11,2026-04-06,MER,Meridian Fashion,Home & Textiles,49248.56,53371.31,2935.24,48056.34,21646.1,26410.24,40998.35
TY2,P12,2026-05-04,MER,Meridian Fashion,Home & Textiles,40998.35,52818.88,1588.47,54247.2,33648.23,20598.97,40838.2
TY2,P13,2026-06-01,MER,Meridian Fashion,Home & Textiles,40838.2,51993.07,2905.35,56939.97,44330.14,12609.83,42879.75
TY1,P01,2024-07-01,MER,Meridian Fashion,Accessories,62046.92,26106.37,1534.84,27955.08,14053.4,13901.68,62360.79
TY1,P02,2024-07-29,MER,Meridian Fashion,Accessories,62360.79,26180.14,2246.86,23880.01,14503.44,9376.57,57813.8
TY1,P03,2024-08-26,MER,Meridian Fashion,Accessories,57813.8,26297.38,1026.31,23979.1,11082.96,12896.14,54469.21
TY1,P04,2024-09-23,MER,Meridian Fashion,Accessories,54469.21,26370.53,805.77,24975.01,10341.59,14633.42,52267.92
TY1,P05,2024-10-21,MER,Meridian Fashion,Accessories,52267.92,25943.36,1743.63,24916.26,16348.69,8567.57,49497.19
TY1,P06,2024-11-18,MER,Meridian Fashion,Accessories,49497.19,25678.57,2079.09,23141.15,18143.04,4998.11,44880.68
TY1,P07,2024-12-16,MER,Meridian Fashion,Accessories,44880.68,26140.17,1039.45,28577.33,22432.38,6144.95,46278.39
TY1,P08,2025-01-13,MER,Meridian Fashion,Accessories,46278.39,26143.16,2225.51,26499.08,17795.22,8703.86,44408.8
TY1,P09,2025-02-10,MER,Meridian Fashion,Accessories,44408.8,26609.86,1375.52,29358.39,15949.81,13408.58,45781.81
TY1,P10,2025-03-10,MER,Meridian Fashion,Accessories,45781.81,26780.07,1768.66,25550.57,14980.6,10569.97,42783.65
TY1,P11,2025-04-07,MER,Meridian Fashion,Accessories,42783.65,26978.24,935.78,24481.64,13609.72,10871.92,39351.27
TY1,P12,2025-05-05,MER,Meridian Fashion,Accessories,39351.27,27000.8,1078.12,29195.85,20981.34,8214.51,40468.2
TY1,P13,2025-06-02,MER,Meridian Fashion,Accessories,40468.2,27467.64,1346.72,30832.56,20572.22,10260.34,42486.4
TY2,P01,2025-06-30,MER,Meridian Fashion,Accessories,42486.4,27470.96,1061.01,29483.86,14088.12,15395.74,43438.29
TY2,P02,2025-07-28,MER,Meridian Fashion,Accessories,43438.29,27487.54,2460.31,24766.33,10091.31,14675.02,38256.77
TY2,P03,2025-08-25,MER,Meridian Fashion,Accessories,38256.77,27981.65,1821.0,26071.27,20955.72,5115.55,34525.39
TY2,P04,2025-09-22,MER,Meridian Fashion,Accessories,34525.39,27994.02,1740.44,29546.23,15450.74,14095.49,34337.16
TY2,P05,2025-10-20,MER,Meridian Fashion,Accessories,34337.16,27785.16,1824.76,27054.1,18900.79,8153.31,31781.34
TY2,P06,2025-11-17,MER,Meridian Fashion,Accessories,31781.34,27288.72,848.4,28623.91,14428.63,14195.28,32268.13
TY2,P07,2025-12-15,MER,Meridian Fashion,Accessories,32268.13,27568.66,1246.65,29021.32,18837.55,10183.77,32474.14
TY2,P08,2026-01-12,MER,Meridian Fashion,Accessories,32474.14,27663.66,1954.64,29916.66,19599.06,10317.6,32772.5
TY2,P09,2026-02-09,MER,Meridian Fashion,Accessories,32772.5,27627.08,2458.95,27760.19,17532.29,10227.9,30446.66
TY2,P10,2026-03-09,MER,Meridian Fashion,Accessories,30446.66,27571.25,2143.99,28399.97,16573.73,11826.24,29131.39
TY2,P11,2026-04-06,MER,Meridian Fashion,Accessories,29131.39,27398.08,2284.44,27363.88,19350.69,8013.19,26812.75
