work_order_id,plant_id,plant_name,department,date_key,planned_units,actual_units_produced,good_units,defect_units,scrap_units,available_hours,downtime_hours,labor_hours,material_cost,labor_cost,overhead_cost,manufacturing_cost_total,on_time_completion_flag
WO00114,SUP01,Plant A,Womenswear,2024-09-02,1450,1308,1253,55,24,40.0,2.5,39.3,7467.92,402.72,1416.72,9287.36,True
WO00115,SUP01,Plant A,Womenswear,2024-09-09,1442,1255,1225,30,13,40.0,3.8,35.6,7304.29,302.71,1369.26,8976.26,False
WO00116,SUP01,Plant A,Womenswear,2024-09-16,1493,1331,1292,39,16,40.0,2.8,35.0,9096.66,400.49,1709.49,11206.64,True
WO00117,SUP01,Plant A,Womenswear,2024-09-23,1493,1231,1206,25,10,40.0,3.6,37.7,8901.34,332.14,1662.03,10895.51,True
WO00118,SUP01,Plant A,Womenswear,2024-09-30,1504,1135,1107,28,15,40.0,2.8,35.9,8431.22,344.59,1579.65,10355.46,True
WO00119,SUP01,Plant A,Womenswear,2024-10-07,1287,1111,1071,40,19,40.0,2.4,40.8,7845.83,378.99,1480.47,9705.29,True
WO00120,SUP01,Plant A,Womenswear,2024-10-14,1436,1149,1133,16,10,40.0,3.7,39.4,8077.43,469.37,1538.42,10085.22,True
WO00121,SUP01,Plant A,Womenswear,2024-10-21,1524,1382,1371,11,4,40.0,3.7,37.3,7418.52,336.87,1395.97,9151.36,True
WO00122,SUP01,Plant A,Womenswear,2024-10-28,1411,1063,1022,41,15,40.0,6.4,30.3,5855.42,339.06,1115.01,7309.49,True
WO00123,SUP01,Plant A,Womenswear,2024-11-04,1324,1055,1032,23,16,40.0,3.1,34.6,5234.79,335.32,1002.62,6572.73,True
WO00124,SUP01,Plant A,Womenswear,2024-11-11,1578,1236,1208,28,17,40.0,6.4,32.1,8843.02,341.99,1653.3,10838.31,False
WO00125,SUP01,Plant A,Womenswear,2024-11-18,1546,1232,1211,21,10,40.0,4.8,36.5,7956.33,436.84,1510.77,9903.94,True
WO00126,SUP01,Plant A,Womenswear,2024-11-25,1445,1137,1096,41,17,40.0,6.7,33.1,6565.41,271.61,1230.66,8067.68,True
WO00127,SUP01,Plant A,Womenswear,2024-12-02,1393,1041,1025,16,7,40.0,4.9,33.8,7023.07,378.75,1332.33,8734.15,True
WO00128,SUP01,Plant A,Womenswear,2024-12-09,1565,1312,1262,50,18,40.0,3.7,36.5,6169.75,299.71,1164.5,7633.96,False
WO00129,SUP01,Plant A,Womenswear,2024-12-16,1419,1194,1169,25,15,40.0,3.0,34.5,5899.07,394.79,1132.89,7426.75,True
WO00130,SUP01,Plant A,Womenswear,2024-12-23,1452,1359,1328,31,18,40.0,2.1,36.0,9182.74,360.6,1717.8,11261.14,True
WO00131,SUP01,Plant A,Womenswear,2024-12-30,1428,1170,1149,21,12,40.0,0.0,37.0,5566.8,322.09,1060.0,6948.89,True
WO00132,SUP01,Plant A,Womenswear,2025-01-06,1543,1349,1311,38,21,40.0,3.9,35.8,7660.64,411.71,1453.02,9525.37,True
WO00133,SUP01,Plant A,Womenswear,2025-01-13,1559,1319,1292,27,11,40.0,0.7,41.2,8176.83,420.39,1547.5,10144.72,True
WO00134,SUP01,Plant A,Womenswear,2025-01-20,1507,1268,1254,14,6,40.0,2.7,35.5,7298.57,391.62,1384.23,9074.42,True
WO00135,SUP01,Plant A,Womenswear,2025-01-27,1459,1239,1202,37,15,40.0,3.8,36.7,8090.62,303.3,1510.91,9904.83,False
WO00136,SUP01,Plant A,Womenswear,2025-02-03,1347,1173,1136,37,24,40.0,2.9,36.9,6953.87,433.29,1329.69,8716.85,False
WO00137,SUP01,Plant A,Womenswear,2025-02-10,1348,942,929,13,5,40.0,7.4,30.0,4823.94,290.73,920.64,6035.31,True
WO00138,SUP01,Plant A,Womenswear,2025-02-17,1323,1108,1090,18,5,40.0,2.2,36.7,5866.22,383.22,1124.9,7374.34,True
WO00139,SUP01,Plant A,Womenswear,2025-02-24,1564,1167,1158,9,3,40.0,2.1,38.8,5678.51,442.69,1101.82,7223.02,True
WO00140,SUP01,Plant A,Womenswear,2025-03-03,1542,1319,1301,18,8,40.0,4.3,34.4,9689.29,354.58,1807.9,11851.77,True
WO00141,SUP01,Plant A,Womenswear,2025-03-10,1334,1112,1084,28,12,40.0,1.3,39.4,5431.18,365.8,1043.46,6840.44,True
WO00142,SUP01,Plant A,Womenswear,2025-03-17,1313,969,926,43,19,40.0,6.1,33.5,6201.06,392.19,1186.78,7780.03,True
WO00143,SUP01,Plant A,Womenswear,2025-03-24,1405,1347,1289,58,28,40.0,0.4,40.9,8301.83,379.67,1562.67,10244.17,True
WO00144,SUP01,Plant A,Womenswear,2025-03-31,1401,1036,998,38,17,40.0,7.0,31.1,6410.79,342.79,1215.64,7969.22,True
WO00145,SUP01,Plant A,Womenswear,2025-04-07,1544,1293,1252,41,13,40.0,4.8,38.3,7340.95,447.94,1402.0,9190.89,True
WO00146,SUP01,Plant A,Womenswear,2025-04-14,1281,1207,1172,35,10,40.0,2.3,39.5,8517.12,394.43,1604.08,10515.63,True
WO00147,SUP01,Plant A,Womenswear,2025-04-21,1281,984,960,24,10,40.0,4.0,36.5,5226.05,315.45,997.47,6538.97,True
WO00148,SUP01,Plant A,Womenswear,2025-04-28,1438,1244,1237,7,4,40.0,4.0,33.7,7815.83,387.97,1476.68,9680.48,True
WO00149,SUP01,Plant A,Womenswear,2025-05-05,1312,1107,1083,24,16,40.0,4.7,36.0,6392.86,341.28,1212.15,7946.29,True
WO00150,SUP01,Plant A,Womenswear,2025-05-12,1317,1018,988,30,12,40.0,5.1,37.5,4654.21,378.07,905.81,5938.09,True
WO00151,SUP01,Plant A,Womenswear,2025-05-19,1500,1271,1240,31,16,40.0,2.0,34.5,7480.07,348.07,1409.07,9237.21,True
WO00152,SUP01,Plant A,Womenswear,2025-05-26,1324,957,946,11,7,40.0,5.0,34.4,6629.05,409.28,1266.9,8305.23,False
WO00153,SUP01,Plant A,Womenswear,2025-06-02,1488,1051,1035,16,7,40.0,8.9,28.2,6415.1,337.67,1215.5,7968.27,True
WO00154,SUP01,Plant A,Womenswear,2025-06-09,1292,1184,1156,28,8,40.0,2.0,41.3,8302.71,349.81,1557.45,10209.97,False
WO00155,SUP01,Plant A,Womenswear,2025-06-16,1547,1239,1216,23,12,40.0,4.4,34.8,7229.62,287.19,1353.03,8869.84,True
WO00156,SUP01,Plant A,Womenswear,2025-06-23,1379,1205,1192,13,4,40.0,2.7,40.0,7981.36,452.8,1518.15,9952.31,True
WO00157,SUP01,Plant A,Womenswear,2025-06-30,1549,1412,1371,41,21,40.0,0.3,40.1,10161.83,476.68,1914.93,12553.44,True
WO00158,SUP01,Plant A,Womenswear,2025-07-07,1434,1213,1209,4,1,40.0,2.9,34.1,5740.29,379.17,1101.5,7220.96,True
WO00159,SUP01,Plant A,Womenswear,2025-07-14,1577,1180,1144,36,13,40.0,6.5,36.7,6084.21,369.31,1161.63,7615.15,True
WO00160,SUP01,Plant A,Womenswear,2025-07-21,1592,1227,1200,27,8,40.0,5.9,32.1,7614.41,373.96,1437.91,9426.28,True
WO00161,SUP01,Plant A,Womenswear,2025-07-28,1480,1180,1119,61,39,40.0,4.5,38.7,6541.57,323.62,1235.73,8100.92,True
WO00162,SUP01,Plant A,Womenswear,2025-08-04,1420,1130,1105,25,12,40.0,5.4,32.4,6172.29,343.85,1172.91,7689.05,True
WO00163,SUP01,Plant A,Womenswear,2025-08-11,1419,1171,1132,39,26,40.0,5.3,32.5,5646.49,324.69,1074.81,7045.99,True
WO00164,SUP01,Plant A,Womenswear,2025-08-18,1442,1040,1030,10,4,40.0,2.6,36.8,4888.5,381.68,948.63,6218.81,True
WO00165,SUP01,Plant A,Womenswear,2025-08-25,1484,1332,1275,57,37,40.0,4.1,35.7,6235.08,403.01,1194.86,7832.95,True
WO00166,SUP01,Plant A,Womenswear,2025-09-01,1530,1173,1112,61,33,40.0,6.4,32.5,7609.94,347.34,1432.31,9389.59,True
WO00167,SUP01,Plant A,Womenswear,2025-09-08,1398,1205,1175,30,17,40.0,4.4,35.3,6201.51,387.62,1186.04,7775.17,True
WO00168,SUP01,Plant A,Womenswear,2025-09-15,1343,989,967,22,8,40.0,3.5,33.7,7287.09,290.42,1363.95,8941.46,True
WO00169,SUP01,Plant A,Womenswear,2025-09-22,1373,1124,1092,32,18,40.0,4.6,33.1,6264.11,328.14,1186.61,7778.86,True
WO00170,SUP01,Plant A,Womenswear,2025-09-29,1367,1184,1164,20,11,40.0,2.3,34.5,7036.95,383.95,1335.76,8756.66,True
WO00171,SUP01,Plant A,Womenswear,2025-10-06,1540,1334,1311,23,10,40.0,1.1,36.3,7873.87,347.33,1479.82,9701.02,True
WO00172,SUP01,Plant A,Womenswear,2025-10-13,1520,1144,1115,29,13,40.0,7.5,31.2,6415.34,279.05,1204.99,7899.38,True
WO00173,SUP01,Plant A,Womenswear,2025-10-20,1577,1207,1205,2,1,40.0,6.1,34.6,8653.39,402.55,1630.07,10686.01,True
WO00174,SUP01,Plant A,Womenswear,2025-10-27,1427,1108,1108,0,0,40.0,5.9,33.5,6874.59,341.99,1298.98,8515.56,True
WO00175,SUP01,Plant A,Womenswear,2025-11-03,1314,1208,1203,5,3,40.0,1.6,41.3,8660.99,382.33,1627.8,10671.12,True
WO00176,SUP01,Plant A,Womenswear,2025-11-10,1365,1046,1043,3,1,40.0,6.2,32.4,5239.83,284.5,994.38,6518.71,False
WO00177,SUP01,Plant A,Womenswear,2025-11-17,1583,1254,1233,21,7,40.0,2.8,34.8,8697.7,315.25,1622.33,10635.28,True
WO00178,SUP01,Plant A,Womenswear,2025-11-24,1324,1088,1074,14,5,40.0,1.9,41.7,5759.65,405.32,1109.69,7274.66,True
WO00179,SUP01,Plant A,Womenswear,2025-12-01,1360,1176,1147,29,18,40.0,3.1,34.8,5307.19,357.91,1019.72,6684.82,True
WO00180,SUP01,Plant A,Womenswear,2025-12-08,1292,1005,974,31,10,40.0,5.9,33.4,6774.93,316.84,1276.52,8368.29,True
WO00181,SUP01,Plant A,Womenswear,2025-12-15,1342,1067,1059,8,4,40.0,2.6,38.8,7948.04,374.32,1498.02,9820.38,True
WO00182,SUP01,Plant A,Womenswear,2025-12-22,1575,1137,1110,27,9,40.0,6.7,33.1,5800.62,289.34,1096.19,7186.15,True
WO00183,SUP01,Plant A,Womenswear,2025-12-29,1372,1125,1103,22,8,40.0,3.9,34.5,5922.21,294.64,1119.03,7335.88,True
WO00184,SUP01,Plant A,Womenswear,2026-01-05,1408,897,872,25,7,40.0,9.3,28.6,5756.72,318.36,1093.51,7168.59,True
WO00185,SUP01,Plant A,Womenswear,2026-01-12,1573,1080,1033,47,15,40.0,5.8,36.8,5850.79,385.5,1122.53,7358.82,True
WO00186,SUP01,Plant A,Womenswear,2026-01-19,1321,1156,1152,4,1,40.0,4.1,38.6,7031.22,423.79,1341.9,8796.91,True
WO00187,SUP01,Plant A,Womenswear,2026-01-26,1519,1353,1344,9,4,40.0,2.6,37.5,8453.45,359.27,1586.29,10399.01,True
WO00188,SUP01,Plant A,Womenswear,2026-02-02,1572,1263,1238,25,12,40.0,6.0,31.8,8696.64,376.59,1633.18,10706.41,True
