date_key,store_id,product_id,stock_on_hand_units,stock_on_hand_cost,stock_on_hand_retail,stock_age_weeks,units_received
2026-05-04,ST002,SKU0001,82.16,1105.0,2394.03,2,0
2026-05-11,ST002,SKU0001,74.47,1001.58,2169.96,3,0
2026-05-18,ST002,SKU0001,67.03,901.54,1953.22,4,0
2026-05-25,ST002,SKU0001,60.13,808.72,1752.12,5,0
2026-06-01,ST002,SKU0001,54.8,737.08,1596.93,6,0
2026-06-08,ST002,SKU0001,49.05,659.68,1429.23,7,0
2026-06-15,ST002,SKU0001,42.62,573.19,1241.85,8,0
2026-06-22,ST002,SKU0001,96.86,1302.71,2822.38,1,61
2024-07-01,ST003,SKU0001,53.09,713.99,1546.9,1,0
2024-07-08,ST003,SKU0001,46.14,620.63,1344.61,2,0
2024-07-15,ST003,SKU0001,39.07,525.43,1138.38,3,0
2024-07-22,ST003,SKU0001,32.57,438.0,948.95,4,0
2024-07-29,ST003,SKU0001,26.31,353.88,766.7,5,0
2024-08-05,ST003,SKU0001,18.64,250.66,543.05,6,0
2024-08-12,ST003,SKU0001,12.8,172.12,372.91,7,0
2024-08-19,ST003,SKU0001,67.67,910.18,1971.94,1,61
2024-08-26,ST003,SKU0001,60.78,817.51,1771.17,2,0
2024-09-02,ST003,SKU0001,53.0,712.87,1544.46,3,0
2024-09-09,ST003,SKU0001,46.45,624.75,1353.55,4,0
2024-09-16,ST003,SKU0001,40.0,537.99,1165.59,5,0
2024-09-23,ST003,SKU0001,33.16,445.98,966.24,6,0
2024-09-30,ST003,SKU0001,25.85,347.74,753.4,7,0
2024-10-07,ST003,SKU0001,19.14,257.47,557.81,8,0
2024-10-14,ST003,SKU0001,72.25,971.71,2105.25,1,61
2024-10-21,ST003,SKU0001,64.31,864.97,1873.99,2,0
2024-10-28,ST003,SKU0001,57.42,772.3,1673.22,3,0
2024-11-04,ST003,SKU0001,48.78,656.11,1421.48,4,0
2024-11-11,ST003,SKU0001,41.72,561.17,1215.8,5,0
2024-11-18,ST003,SKU0001,33.82,454.86,985.48,6,0
2024-11-25,ST003,SKU0001,26.54,356.95,773.34,7,0
2024-12-02,ST003,SKU0001,16.73,225.06,487.6,8,0
2024-12-09,ST003,SKU0001,70.09,942.65,2042.29,1,61
2024-12-16,ST003,SKU0001,61.9,832.59,1803.84,2,0
2024-12-23,ST003,SKU0001,52.79,709.96,1538.16,3,0
2024-12-30,ST003,SKU0001,42.08,565.99,1226.24,4,0
2025-01-06,ST003,SKU0001,34.79,467.91,1013.75,5,0
2025-01-13,ST003,SKU0001,28.03,376.97,816.73,6,0
2025-01-20,ST003,SKU0001,20.51,275.83,597.59,7,0
2025-01-27,ST003,SKU0001,12.61,169.66,367.57,8,0
2025-02-03,ST003,SKU0001,66.61,895.89,1940.98,1,61
2025-02-10,ST003,SKU0001,59.42,799.22,1731.54,2,0
2025-02-17,ST003,SKU0001,52.34,704.03,1525.32,3,0
2025-02-24,ST003,SKU0001,45.39,610.52,1322.73,4,0
2025-03-03,ST003,SKU0001,39.05,525.18,1137.83,5,0
2025-03-10,ST003,SKU0001,32.76,440.65,954.69,6,0
2025-03-17,ST003,SKU0001,24.85,334.24,724.14,7,0
2025-03-24,ST003,SKU0001,18.09,243.32,527.17,8,0
2025-03-31,ST003,SKU0001,72.35,973.11,2108.29,1,61
2025-04-07,ST003,SKU0001,66.89,899.65,1949.13,2,0
2025-04-14,ST003,SKU0001,61.56,827.99,1793.88,3,0
2025-04-21,ST003,SKU0001,53.42,718.44,1556.52,4,0
2025-04-28,ST003,SKU0001,47.02,632.41,1370.15,5,0
2025-05-05,ST003,SKU0001,42.51,571.76,1238.74,6,0
2025-05-12,ST003,SKU0001,33.48,450.26,975.51,7,0
2025-05-19,ST003,SKU0001,26.95,362.43,785.23,8,0
2025-05-26,ST003,SKU0001,82.26,1106.37,2397.0,1,61
2025-06-02,ST003,SKU0001,75.17,1011.1,2190.58,2,0
2025-06-09,ST003,SKU0001,67.51,908.01,1967.24,3,0
2025-06-16,ST003,SKU0001,59.95,806.31,1746.91,4,0
2025-06-23,ST003,SKU0001,52.19,702.02,1520.95,5,0
2025-06-30,ST003,SKU0001,46.01,618.83,1340.72,6,0
2025-07-07,ST003,SKU0001,37.89,509.59,1104.04,7,0
2025-07-14,ST003,SKU0001,29.71,399.58,865.7,8,0
2025-07-21,ST003,SKU0001,82.49,1109.44,2403.64,1,61
2025-07-28,ST003,SKU0001,75.27,1012.37,2193.34,2,0
2025-08-04,ST003,SKU0001,68.57,922.31,1998.22,3,0
2025-08-11,ST003,SKU0001,61.95,833.22,1805.21,4,0
2025-08-18,ST003,SKU0001,56.26,756.76,1639.56,5,0
2025-08-25,ST003,SKU0001,49.72,668.7,1448.77,6,0
2025-09-01,ST003,SKU0001,44.73,601.6,1303.39,7,0
2025-09-08,ST003,SKU0001,39.15,526.5,1140.7,8,0
2025-09-15,ST003,SKU0001,92.94,1250.01,2708.19,1,61
2025-09-22,ST003,SKU0001,86.15,1158.72,2510.41,2,0
2025-09-29,ST003,SKU0001,78.98,1062.27,2301.46,3,0
2025-10-06,ST003,SKU0001,71.39,960.14,2080.17,4,0
2025-10-13,ST003,SKU0001,64.06,861.64,1866.77,5,0
2025-10-20,ST003,SKU0001,56.81,764.14,1655.53,6,0
2025-10-27,ST003,SKU0001,49.89,670.97,1453.69,7,0
2025-11-03,ST003,SKU0001,43.52,585.33,1268.15,8,0
2025-11-10,ST003,SKU0001,98.56,1325.69,2872.17,1,61
2025-11-17,ST003,SKU0001,91.62,1232.34,2669.92,2,0
2025-11-24,ST003,SKU0001,84.58,1137.61,2464.69,3,0
2025-12-01,ST003,SKU0001,74.11,996.78,2159.57,4,0
2025-12-08,ST003,SKU0001,64.84,872.11,1889.47,5,0
2025-12-15,ST003,SKU0001,54.77,736.65,1595.98,6,0
2025-12-22,ST003,SKU0001,46.96,631.63,1368.46,7,0
2025-12-29,ST003,SKU0001,37.21,500.53,1084.43,8,0
2026-01-05,ST003,SKU0001,91.05,1224.69,2653.34,1,61
2026-01-12,ST003,SKU0001,82.93,1115.44,2416.65,2,0
2026-01-19,ST003,SKU0001,76.14,1024.14,2218.85,3,0
2026-01-26,ST003,SKU0001,71.17,957.22,2073.86,4,0
2026-02-02,ST003,SKU0001,64.42,866.39,1877.07,5,0
2026-02-09,ST003,SKU0001,56.82,764.17,1655.61,6,0
2026-02-16,ST003,SKU0001,50.8,683.31,1480.43,7,0
2026-02-23,ST003,SKU0001,43.61,586.5,1270.68,8,0
2026-03-02,ST003,SKU0001,98.63,1326.61,2874.17,1,61
2026-03-09,ST003,SKU0001,90.1,1211.89,2625.6,2,0
2026-03-16,ST003,SKU0001,84.18,1132.21,2452.98,3,0
2026-03-23,ST003,SKU0001,77.62,1043.94,2261.74,4,0
2026-03-30,ST003,SKU0001,70.41,947.06,2051.85,5,0
2026-04-06,ST003,SKU0001,62.98,847.09,1835.25,6,0
2026-04-13,ST003,SKU0001,54.91,738.54,1600.08,7,0
2026-04-20,ST003,SKU0001,48.44,651.58,1411.68,8,0
2026-04-27,ST003,SKU0001,101.8,1369.26,2966.57,1,61
2026-05-04,ST003,SKU0001,96.22,1294.16,2803.85,2,0
2026-05-11,ST003,SKU0001,90.09,1211.69,2625.18,3,0
2026-05-18,ST003,SKU0001,84.28,1133.63,2456.05,4,0
2026-05-25,ST003,SKU0001,77.96,1048.59,2271.82,5,0
2026-06-01,ST003,SKU0001,70.36,946.38,2050.36,6,0
2026-06-08,ST003,SKU0001,63.88,859.16,1861.41,7,0
2026-06-15,ST003,SKU0001,57.25,769.99,1668.22,8,0
2026-06-22,ST003,SKU0001,111.02,1493.25,3235.2,1,61
2024-07-01,ST004,SKU0001,53.6,720.98,1562.03,1,0
2024-07-08,ST004,SKU0001,46.95,631.48,1368.12,2,0
2024-07-15,ST004,SKU0001,40.82,549.08,1189.61,3,0
2024-07-22,ST004,SKU0001,32.47,436.73,946.2,4,0
2024-07-29,ST004,SKU0001,25.81,347.16,752.14,5,0
2024-08-05,ST004,SKU0001,19.07,256.52,555.76,6,0
2024-08-12,ST004,SKU0001,12.23,164.52,356.43,7,0
2024-08-19,ST004,SKU0001,65.74,884.27,1915.81,1,61
2024-08-26,ST004,SKU0001,60.0,807.0,1748.4,2,0
2024-09-02,ST004,SKU0001,51.28,689.66,1494.18,3,0
2024-09-09,ST004,SKU0001,44.56,599.32,1298.46,4,0
2024-09-16,ST004,SKU0001,37.04,498.22,1079.42,5,0
2024-09-23,ST004,SKU0001,29.9,402.21,871.41,6,0
2024-09-30,ST004,SKU0001,21.35,287.19,622.2,7,0
2024-10-07,ST004,SKU0001,12.95,174.19,377.4,8,0
2024-10-14,ST004,SKU0001,66.46,893.86,1936.58,1,61
2024-10-21,ST004,SKU0001,60.19,809.53,1753.87,2,0
2024-10-28,ST004,SKU0001,52.17,701.68,1520.21,3,0
2024-11-04,ST004,SKU0001,46.59,626.64,1357.65,4,0
2024-11-11,ST004,SKU0001,40.35,542.69,1175.76,5,0
2024-11-18,ST004,SKU0001,33.42,449.46,973.78,6,0
2024-11-25,ST004,SKU0001,27.77,373.56,809.34,7,0
2024-12-02,ST004,SKU0001,18.92,254.43,551.24,8,0
2024-12-09,ST004,SKU0001,69.58,935.81,2027.48,1,61
2024-12-16,ST004,SKU0001,60.94,819.6,1775.69,2,0
2024-12-23,ST004,SKU0001,50.54,679.75,1472.7,3,0
2024-12-30,ST004,SKU0001,38.39,516.3,1118.59,4,0
2025-01-06,ST004,SKU0001,31.06,417.77,905.12,5,0
2025-01-13,ST004,SKU0001,23.38,314.4,681.15,6,0
2025-01-20,ST004,SKU0001,15.32,206.1,446.53,7,0
2025-01-27,ST004,SKU0001,8.69,116.87,253.21,8,0
2025-02-03,ST004,SKU0001,62.03,834.24,1807.41,1,61
2025-02-10,ST004,SKU0001,55.41,745.27,1614.67,2,0
2025-02-17,ST004,SKU0001,48.15,647.57,1403.0,3,0
2025-02-24,ST004,SKU0001,40.35,542.67,1175.71,4,0
2025-03-03,ST004,SKU0001,34.04,457.86,991.97,5,0
2025-03-10,ST004,SKU0001,28.99,389.92,844.79,6,0
2025-03-17,ST004,SKU0001,22.76,306.11,663.21,7,0
2025-03-24,ST004,SKU0001,14.82,199.39,431.98,8,0
2025-03-31,ST004,SKU0001,69.69,937.33,2030.78,1,61
2025-04-07,ST004,SKU0001,61.81,831.33,1801.11,2,0
2025-04-14,ST004,SKU0001,55.57,747.47,1619.42,3,0
2025-04-21,ST004,SKU0001,48.76,655.82,1420.87,4,0
2025-04-28,ST004,SKU0001,41.77,561.83,1217.22,5,0
2025-05-05,ST004,SKU0001,35.64,479.37,1038.58,6,0
2025-05-12,ST004,SKU0001,28.82,387.6,839.75,7,0
2025-05-19,ST004,SKU0001,23.13,311.11,674.04,8,0
2025-05-26,ST004,SKU0001,77.43,1041.38,2256.19,1,61
2025-06-02,ST004,SKU0001,70.51,948.32,2054.57,2,0
2025-06-09,ST004,SKU0001,65.42,879.93,1906.42,3,0
2025-06-16,ST004,SKU0001,59.2,796.21,1725.03,4,0
2025-06-23,ST004,SKU0001,51.96,698.87,1514.13,5,0
2025-06-30,ST004,SKU0001,45.92,617.6,1338.06,6,0
2025-07-07,ST004,SKU0001,38.54,518.39,1123.12,7,0
2025-07-14,ST004,SKU0001,31.08,418.04,905.7,8,0
2025-07-21,ST004,SKU0001,84.85,1141.2,2472.46,1,61
2025-07-28,ST004,SKU0001,77.19,1038.26,2249.44,2,0
2025-08-04,ST004,SKU0001,71.55,962.41,2085.11,3,0
2025-08-11,ST004,SKU0001,63.71,856.94,1856.61,4,0
2025-08-18,ST004,SKU0001,57.57,774.33,1677.61,5,0
2025-08-25,ST004,SKU0001,50.49,679.06,1471.21,6,0
2025-09-01,ST004,SKU0001,41.98,564.6,1223.22,7,0
2025-09-08,ST004,SKU0001,35.29,474.65,1028.34,8,0
2025-09-15,ST004,SKU0001,89.28,1200.82,2601.62,1,61
2025-09-22,ST004,SKU0001,83.13,1118.14,2422.49,2,0
2025-09-29,ST004,SKU0001,74.63,1003.82,2174.81,3,0
2025-10-06,ST004,SKU0001,68.41,920.07,1993.37,4,0
2025-10-13,ST004,SKU0001,60.87,818.69,1773.74,5,0
2025-10-20,ST004,SKU0001,52.82,710.43,1539.17,6,0
2025-10-27,ST004,SKU0001,45.2,607.92,1317.07,7,0
2025-11-03,ST004,SKU0001,37.91,509.91,1104.75,8,0
2025-11-10,ST004,SKU0001,91.84,1235.27,2676.27,1,61
2025-11-17,ST004,SKU0001,85.92,1155.58,2503.61,2,0
2025-11-24,ST004,SKU0001,77.46,1041.9,2257.31,3,0
2025-12-01,ST004,SKU0001,67.72,910.9,1973.5,4,0
2025-12-08,ST004,SKU0001,58.26,783.61,1697.73,5,0
2025-12-15,ST004,SKU0001,50.05,673.19,1458.49,6,0
2025-12-22,ST004,SKU0001,40.53,545.17,1181.13,7,0
2025-12-29,ST004,SKU0001,31.14,418.84,907.44,8,0
2026-01-05,ST004,SKU0001,83.63,1124.84,2437.0,1,61
2026-01-12,ST004,SKU0001,76.62,1030.56,2232.74,2,0
2026-01-19,ST004,SKU0001,69.58,935.91,2027.68,3,0
2026-01-26,ST004,SKU0001,63.49,853.99,1850.2,4,0
2026-02-02,ST004,SKU0001,57.12,768.27,1664.48,5,0
2026-02-09,ST004,SKU0001,49.69,668.34,1447.99,6,0
2026-02-16,ST004,SKU0001,44.19,594.38,1287.74,7,0
2026-02-23,ST004,SKU0001,36.36,488.98,1059.39,8,0
2026-03-02,ST004,SKU0001,89.49,1203.69,2607.84,1,61
2026-03-09,ST004,SKU0001,83.2,1119.08,2424.54,2,0
2026-03-16,ST004,SKU0001,75.91,1021.04,2212.13,3,0
2026-03-23,ST004,SKU0001,67.83,912.35,1976.64,4,0
2026-03-30,ST004,SKU0001,60.94,819.69,1775.89,5,0
2026-04-06,ST004,SKU0001,54.21,729.15,1579.72,6,0
2026-04-13,ST004,SKU0001,47.38,637.28,1380.69,7,0
2026-04-20,ST004,SKU0001,40.17,540.27,1170.52,8,0
2026-04-27,ST004,SKU0001,94.7,1273.67,2759.45,1,61
