chain_code,chain_name,calendar_year,calendar_month,opening_balance,credit_sales,collections,write_offs,closing_balance,active_accounts,new_accounts,arrears_30,arrears_60,arrears_90plus,bad_debt_provision,interest_income
MER,Meridian Fashion,2025,9,65069.87,48050.58,56849.75,968.98,55301.72,232,11,4781.63,3685.33,1487.97,760.69,1289.79
MER,Meridian Fashion,2025,10,55301.72,46261.77,56324.29,539.58,44699.62,174,5,4957.34,1798.65,2149.22,1180.74,700.61
MER,Meridian Fashion,2025,11,44699.62,47943.37,51595.23,725.44,40322.32,160,8,4481.08,1719.23,1740.33,1215.62,830.84
MER,Meridian Fashion,2025,12,40322.32,65847.14,44825.62,768.23,60575.61,303,7,7866.76,2188.68,1537.29,1045.07,1703.29
MER,Meridian Fashion,2026,1,60575.61,42140.86,52056.47,1185.91,49474.09,224,5,3999.3,1938.7,1185.14,833.51,832.52
MER,Meridian Fashion,2026,2,49474.09,49285.29,49665.51,395.63,48698.24,199,9,6055.09,1716.24,1154.76,898.71,1020.89
MER,Meridian Fashion,2026,3,48698.24,55288.22,49930.03,941.55,53114.88,261,14,4328.41,2773.02,2072.5,1102.09,908.54
MER,Meridian Fashion,2026,4,53114.88,52166.57,56129.46,1008.94,48143.05,197,7,6118.3,1478.64,1120.5,839.06,1297.56
MER,Meridian Fashion,2026,5,48143.05,42253.25,45161.13,867.35,44367.82,194,7,4545.53,2086.85,1755.1,1334.31,967.59
MER,Meridian Fashion,2026,6,44367.82,42871.63,41473.24,765.28,45000.93,238,5,5205.08,1613.15,2013.34,1194.11,772.13
TNY,TinyThreads,2024,7,107320.25,51775.35,75882.48,783.89,82429.23,435,9,6868.31,3048.7,1780.59,1206.07,2078.1
TNY,TinyThreads,2024,8,82429.23,34792.3,61047.61,1494.04,54679.88,220,4,4969.85,2158.2,1502.69,1008.86,1161.62
TNY,TinyThreads,2024,9,54679.88,30929.48,43585.55,356.79,41667.02,168,3,5645.49,1415.2,1887.82,1455.12,1237.24
TNY,TinyThreads,2024,10,41667.02,39230.84,42299.76,695.21,37902.89,198,8,4201.66,2437.27,1284.3,790.52,932.16
TNY,TinyThreads,2024,11,37902.89,28464.82,30319.62,426.53,35621.56,179,6,3632.81,1535.28,1117.94,788.96,692.95
TNY,TinyThreads,2024,12,35621.56,73550.02,47904.41,353.56,60913.61,273,14,7258.18,3787.34,2191.77,1512.05,1176.99
TNY,TinyThreads,2025,1,60913.61,36979.48,48502.88,1091.01,48299.2,253,11,4139.52,2851.04,1088.41,849.81,824.04
TNY,TinyThreads,2025,2,48299.2,41962.05,47675.81,808.5,41776.94,171,9,3977.29,2239.37,954.66,653.8,733.99
TNY,TinyThreads,2025,3,41776.94,43138.91,40408.4,536.39,43971.06,182,9,4816.11,2373.72,2107.84,1129.63,736.8
TNY,TinyThreads,2025,4,43971.06,27880.33,37879.73,730.57,33241.09,142,4,4451.05,2011.13,934.61,569.42,655.4
TNY,TinyThreads,2025,5,33241.09,26463.29,29512.36,384.55,29807.47,141,6,3373.6,2010.38,1293.91,833.03,615.39
TNY,TinyThreads,2025,6,29807.47,53026.31,41365.96,202.01,41265.81,166,7,3603.14,2208.97,1674.69,843.53,900.2
TNY,TinyThreads,2025,7,41265.81,39823.7,36750.8,480.12,43858.59,214,12,5564.67,1509.77,2189.03,1671.89,844.66
TNY,TinyThreads,2025,8,43858.59,43644.87,42505.84,657.23,44340.39,191,4,5933.72,1381.65,1207.16,655.38,1181.74
TNY,TinyThreads,2025,9,44340.39,34367.13,43847.07,245.75,34614.7,191,4,4027.61,2148.16,940.02,709.55,548.94
TNY,TinyThreads,2025,10,34614.7,39055.92,39303.42,535.55,33831.65,136,2,3116.13,1184.0,1188.71,860.1,827.19
TNY,TinyThreads,2025,11,33831.65,39475.66,33352.69,267.12,39687.5,196,9,5509.11,2161.45,858.64,588.08,620.52
TNY,TinyThreads,2025,12,39687.5,69560.03,43780.96,253.04,65213.53,334,19,7011.34,4001.71,2549.34,1712.45,1120.17
TNY,TinyThreads,2026,1,65213.53,42866.21,53326.49,1010.59,53742.66,231,13,4778.06,2705.09,1726.27,1108.7,902.25
TNY,TinyThreads,2026,2,53742.66,26078.21,39352.24,613.66,39854.97,174,7,4173.16,1847.33,1057.31,715.26,787.36
TNY,TinyThreads,2026,3,39854.97,30439.4,34229.64,334.14,35730.59,158,6,4363.42,1997.98,1413.97,841.12,957.99
TNY,TinyThreads,2026,4,35730.59,37574.34,34954.06,371.95,37978.92,171,8,5058.19,2538.6,1333.4,874.82,1025.36
TNY,TinyThreads,2026,5,37978.92,29760.3,36142.2,255.9,31341.12,168,9,2611.78,1292.02,940.98,519.33,617.68
TNY,TinyThreads,2026,6,31341.12,38193.38,31286.84,559.38,37688.28,179,4,4373.74,1311.06,1166.36,918.54,1128.08
URB,Urban Basics,2024,7,133494.8,59986.78,101972.01,2080.0,89429.57,423,19,7211.93,3430.72,3197.34,1755.74,1564.0
URB,Urban Basics,2024,8,89429.57,55294.97,84085.27,1572.71,59066.56,227,5,6313.9,2699.51,1323.18,961.42,1270.33
URB,Urban Basics,2024,9,59066.56,51123.15,46341.09,1099.03,62749.59,341,9,6119.56,3112.88,2358.97,1528.58,1020.42
URB,Urban Basics,2024,10,62749.59,35514.18,56730.76,924.76,40608.25,173,8,3390.24,1813.74,1469.44,883.92,1123.52
URB,Urban Basics,2024,11,40608.25,41408.76,43914.99,510.52,37591.5,148,6,4925.11,1639.88,1314.37,866.73,623.07
URB,Urban Basics,2024,12,37591.5,69632.16,50283.82,288.05,56651.79,273,7,4616.52,3801.25,1894.79,1122.21,1358.35
URB,Urban Basics,2025,1,56651.79,29015.55,44191.47,821.82,40654.05,157,7,4417.08,2457.83,1914.8,1371.4,1197.19
URB,Urban Basics,2025,2,40654.05,47967.25,40095.63,649.9,47875.77,222,9,5709.0,3293.5,2371.64,1390.89,1245.07
URB,Urban Basics,2025,3,47875.77,59754.74,43080.71,268.78,64281.02,265,10,8943.57,3123.99,3171.47,1977.33,1729.5
URB,Urban Basics,2025,4,64281.02,34918.62,55080.78,1213.02,42905.84,174,3,4391.93,1370.75,998.78,701.73,1102.63
URB,Urban Basics,2025,5,42905.84,47708.0,47621.8,729.96,42262.08,229,6,4957.93,2718.51,850.95,556.85,1063.28
URB,Urban Basics,2025,6,42262.08,38234.66,41132.36,637.07,38727.31,194,10,3906.88,2483.73,1121.86,759.61,811.5
URB,Urban Basics,2025,7,38727.31,36155.0,36754.31,242.9,37885.1,182,8,4866.19,2650.05,1094.53,681.22,646.03
URB,Urban Basics,2025,8,37885.1,47976.65,44716.0,527.67,40618.08,192,10,4460.47,1436.85,1257.59,654.14,732.33
URB,Urban Basics,2025,9,40618.08,37751.64,38363.53,412.25,39593.94,185,10,4953.91,2044.4,1129.86,868.97,733.54
URB,Urban Basics,2025,10,39593.94,37372.27,40407.85,638.84,35919.52,158,7,3518.78,1424.38,1065.9,582.66,1009.87
URB,Urban Basics,2025,11,35919.52,36478.04,36862.96,601.92,34932.68,162,6,4879.47,1990.6,1552.38,1196.52,936.68
URB,Urban Basics,2025,12,34932.68,58610.49,36057.11,516.79,56969.27,222,8,6037.51,1790.76,2779.72,1475.76,889.64
URB,Urban Basics,2026,1,56969.27,36182.12,42609.59,725.86,49815.94,242,5,4318.84,2260.66,1086.78,771.02,901.93
URB,Urban Basics,2026,2,49815.94,36620.63,41700.94,250.32,44485.31,235,12,3562.12,2238.8,1542.98,925.68,955.1
URB,Urban Basics,2026,3,44485.31,60434.48,47184.86,437.62,57297.31,287,11,6932.72,2242.05,1714.45,1335.75,901.2
URB,Urban Basics,2026,4,57297.31,44308.3,49862.53,327.2,51415.88,269,15,4141.84,1929.79,1076.57,574.02,1249.52
URB,Urban Basics,2026,5,51415.88,35136.98,45306.97,912.2,40333.69,223,12,4724.98,1472.57,1741.94,1318.03,758.84
URB,Urban Basics,2026,6,40333.69,51978.16,42518.13,797.39,48996.33,234,12,4855.73,3036.23,1862.94,1052.39,1039.23
